jockey,IV,A/E,PRB,PRB2
Wilson Renwick,0.733,0.74,0.43,0.294
Russ Garritty,1.453,0.83,0.551,0.418
Padge Whelan,0.478,0.466,0.462,0.316
Keith Mercer,1.097,0.859,0.527,0.389
Richie McGrath,1.083,0.853,0.474,0.347
Brian Harding,0.9,0.825,0.429,0.297
Bruce Gibson,1.211,0.879,0.44,0.313
Barry Keniry,0.83,0.845,0.462,0.326
Matty Roe,0,0,0.346,0.221
Kenny Johnson,0.677,0.813,0.388,0.243
Peter Buchanan,0.623,0.652,0.411,0.278
Dougie Costello,0.494,0.51,0.397,0.272
Mr J Moorman,0,0,0.483,0.267
Phil Kinsella,0.766,0.864,0.408,0.287
T Halliday,1.202,1.002,0.439,0.316
Neil Mulholland,0.505,0.608,0.4,0.263
Owyn Nelmes,0.72,0.782,0.46,0.324
N Hannity,0.989,0.724,0.483,0.35
Gareth Thomas,0.363,0.588,0.42,0.271
Danny Cook,0.612,0.788,0.363,0.263
T J Dreaper,1.063,0.75,0.477,0.347
Gino Carenza,0.875,0.81,0.405,0.29
Gary Berridge,0.989,0.871,0.447,0.318
David OMeara,0.799,0.773,0.424,0.292
Henry Oliver,1.038,0.739,0.492,0.343
Fergus King,1.096,1.075,0.447,0.324
B J Crowley,0.908,0.899,0.425,0.3
Mr T Greenall,1.047,0.693,0.55,0.417
Larry McGrath,1.11,0.663,0.511,0.365
Jim Crowley,1.66,1.201,0.496,0.379
Mr S Morris,1.162,0.851,0.537,0.407
Ollie McPhail,0.83,0.965,0.365,0.246
Mick Fitzgerald,1.586,0.853,0.517,0.4
Tony Dobbin,2.09,0.955,0.543,0.435
Alan OKeeffe,1.022,0.883,0.418,0.301
Anthony Coyle,0.09,0.174,0.303,0.175
Dominic Elsworth,1.907,1.159,0.553,0.433
Tony Evans,1.093,0.977,0.436,0.322
Tom Doyle,1.342,0.931,0.508,0.387
D Swan,0,0,0.332,0.195
John McNamara,0.873,0.76,0.491,0.359
Paul Robson,0.876,0.857,0.443,0.315
Vince Slattery,0.395,0.644,0.339,0.198
Mr C Storey,0.474,0.578,0.497,0.327
Stephen Craine,0.584,0.659,0.471,0.311
Carl Llewellyn,1.198,0.813,0.471,0.336
Mr S Rees,0,0,0.36,0.185
C Rafter,0,0,0.344,0.205
Dave Crosse,0.511,0.617,0.414,0.282
Graham Lee,1.876,0.955,0.542,0.432
Joe Tizzard,1.525,0.95,0.489,0.365
William Kennedy,1.4,0.876,0.538,0.413
Robert Walford,0.958,0.927,0.505,0.352
Miss Beverley Kendall,0,0,0.642,0.484
Sam Stronge,0.968,1.181,0.354,0.246
James Davies,0.971,1.092,0.372,0.262
Declan McGann,0.652,0.819,0.393,0.255
J E Clare,0.894,1.614,0.407,0.284
Ewan Whillans,0.564,0.738,0.434,0.283
Mr C D Sharkey,0.625,0.669,0.446,0.326
Paddy Aspell,0.399,0.578,0.409,0.259
Adam Pogson,0.882,0.911,0.492,0.349
G J Grogan,0,0,0.496,0.372
P C ONeill,1.625,1.05,0.54,0.412
Tommy Phelan,0.536,0.89,0.411,0.249
Jason Maguire,0.904,0.697,0.463,0.351
Mr Matthew Smith,0.541,1.071,0.369,0.259
Anthony Ross,0.272,0.359,0.415,0.273
B W Walsh,0,0,0.364,0.264
Ben Orde-Powlett,0.646,0.93,0.402,0.27
Mr Tom Greenway,0.476,0.606,0.335,0.23
N J Carter,0.228,0.268,0.359,0.226
H Bastiman,2.324,2.302,0.472,0.386
Mr M Walford,0.342,0.255,0.554,0.417
S P Walsh,0.748,1.018,0.385,0.28
Paul Moloney,0.77,0.703,0.435,0.302
Ciaran Eddery,1.223,1.348,0.392,0.289
Sean Fox,1.236,1.198,0.532,0.379
Mr N Tutty,0,0,0.45,0.405
Mr S Crawford,1.076,1.25,0.466,0.322
Mr S F Magee,0,0,0.398,0.233
Michael McAlister,0.968,1.437,0.418,0.29
Luke Fletcher,0.693,0.913,0.427,0.277
Miss Rachel Clark,1.788,3.012,0.449,0.324
Lee Vickers,0.183,0.298,0.376,0.23
Josh Byrne,0.459,0.632,0.357,0.24
Miss T Jackson,0,0,0.233,0.128
Mark Bradburne,0.757,0.635,0.526,0.38
David Da Silva,0.484,1.176,0.386,0.26
Paul Callaghan,0,0,0.366,0.232
Charlie Studd,0.603,1.096,0.366,0.226
Miss L Hislop,2.905,2.781,0.634,0.46
Mr D T Stratton,0,0,0.528,0.309
Mr Christopher Dawson,1.66,3.119,0.442,0.319
Mr C Mulhall,3.874,2.677,0.663,0.585
Mr Simon Robinson,0,0,0.159,0.101
Mr O Greenall,0,0,0.324,0.189
Tom Messenger,0.415,0.685,0.356,0.233
Mr N S Saville,0,0,0.315,0.229
Mrs Joanne Brown,0,0,0.106,0.022
Mr S Charlton,0,0,0.312,0.242
Mrs R Dobbin,1.316,0.791,0.543,0.403
M Palmer,0,0,0.46,0.224
Mr John Davidson,0.646,1.515,0.4,0.248
Phillip Makin,1.025,0.791,0.546,0.388
Neil Callan,1.57,1.04,0.555,0.414
Robert Winston,1.707,1.011,0.562,0.422
Paul Mulrennan,0.527,0.59,0.429,0.277
David Allan,0.972,0.85,0.534,0.372
Chris Catlin,1.001,0.896,0.475,0.328
Tony Culhane,1.037,0.781,0.511,0.36
Tom Eaves,0.841,0.829,0.487,0.333
Lisa Jones,0.596,0.739,0.423,0.274
Hayley Turner,1.018,0.973,0.478,0.326
Daniel Tudhope,1.08,0.887,0.555,0.404
J-P Guillambert,1.132,0.862,0.539,0.386
Paul Eddery,0.569,0.757,0.414,0.261
Paul Hanagan,1.131,0.823,0.521,0.371
Royston Ffrench,0.89,0.841,0.48,0.328
Micky Fenton,0.759,0.826,0.467,0.317
Paddy Mathers,0.487,0.606,0.425,0.273
Tom Queally,0.74,0.697,0.429,0.283
Fergal Lynch,1.282,1,0.515,0.371
Adrian Nicholls,1.098,0.917,0.455,0.322
Michael Tebbutt,0.904,0.998,0.438,0.293
Amir Quinn,0.911,0.81,0.516,0.364
P J Benson,1.019,0.697,0.569,0.424
V Halliday,0.159,0.302,0.336,0.188
Nicky Mackay,0.857,0.737,0.514,0.352
Leandro D Goncalves,0.581,0.426,0.543,0.368
Tony Hamilton,0.772,0.743,0.478,0.32
John Carroll,1.125,1.112,0.428,0.291
Derek McGaffin,0.845,0.974,0.441,0.292
Victoria Behan,1.49,1.563,0.507,0.361
Ann Stokell,0.156,0.278,0.385,0.226
Paul Quinn,0.339,0.569,0.416,0.264
Darren Williams,0.765,0.752,0.436,0.284
Russ Kennemore,1.038,1.106,0.463,0.312
Travis Block,1.625,1.11,0.528,0.389
Mrs Adele Mulrennan,0.314,0.516,0.378,0.239
Neil Pollard,0.234,0.342,0.356,0.2
Joe Fanning,1.129,0.877,0.482,0.339
Brian Reilly,0.974,1.084,0.442,0.302
Jamie Spencer,1.788,0.901,0.573,0.437
Eddie Creighton,0.43,0.536,0.431,0.275
Dean Mernagh,0.745,1.09,0.393,0.256
Dean McKeown,0.691,0.716,0.463,0.304
Kim Tinkler,0.583,0.687,0.474,0.311
David McCabe,0.834,0.903,0.489,0.344
Dale Gibson,0.605,0.6,0.466,0.309
Richard Hills,1.754,0.853,0.625,0.478
Duran Fentiman,0.428,0.607,0.369,0.224
Gyles Parkin,0.095,0.138,0.357,0.208
Jamie Mackay,0.68,0.673,0.418,0.266
Ben Swarbrick,0.495,0.538,0.473,0.308
Mark Lawson,0.668,0.753,0.491,0.315
David Nolan,0.648,0.711,0.485,0.319
Saleem Golam,1.364,1.05,0.545,0.403
Christopher Ely,0,0,0.318,0.189
Derek Nolan,0.83,0.759,0.474,0.313
Stephanie Hollinshead,0,0,0.393,0.22
Darryll Holland,0.95,0.721,0.508,0.353
Frankie McDonald,0.722,0.806,0.475,0.316
David Kinsella,0.399,0.634,0.409,0.243
Oscar Urbina,1.079,0.866,0.527,0.369
Andrew Mullen,0.869,0.787,0.512,0.355
Seb Sanders,1.68,0.943,0.538,0.398
Andrew Elliott,1.162,1.094,0.534,0.374
Paul Fessey,0.42,0.518,0.44,0.281
Kevin Darley,1.608,0.923,0.554,0.413
Marc Halford,0.86,0.885,0.447,0.3
Natalia Gemelova,0.588,1.194,0.362,0.234
Kerrin McEvoy,2.221,1.223,0.602,0.463
Ross Studholme,0,0,0.28,0.134
Dean Corby,1.179,1.106,0.501,0.35
Francis Ferris,0.752,1.035,0.404,0.268
Robbie Fitzpatrick,1.026,1.104,0.488,0.337
Sam Hitchcott,0.625,0.623,0.479,0.322
John Cavanagh,0,0,0.407,0.235
Slade OHara,1.192,1.154,0.531,0.369
Colin Haddon,0.803,0.835,0.471,0.312
Franny Norton,1.022,0.859,0.518,0.366
Nicola Topper,0,0,0.4,0.19
Paul Fitzsimons,0.406,0.526,0.407,0.258
Ted Durcan,0.967,0.731,0.502,0.35
Philip Robinson,1.627,0.98,0.583,0.438
Mark Flynn,0.581,0.635,0.501,0.325
Graham Gibbons,1.468,1.116,0.561,0.416
Neil Brown,1.453,0.882,0.591,0.432
Jason Edmunds,0.363,0.477,0.397,0.262
Richard Kingscote,1.305,1.038,0.545,0.394
Kristin Stubbs,0.208,0.18,0.522,0.344
Greg Fairley,1.589,1.22,0.549,0.403
Gary Bartley,0.381,0.367,0.463,0.307
Jonathan Currie,0,0,0.38,0.252
Richard Mullen,0.564,0.568,0.484,0.322
Liam Keniry,0.814,0.897,0.469,0.314
Eddie Ahern,1.239,0.799,0.549,0.399
Dean Heslop,0,0,0.519,0.359
Ambroise Reilly,0,0,0.348,0.178
John McAuley,0,0,0.282,0.141
R D Gordon,0.484,0.651,0.384,0.231
Willie Supple,1.109,0.849,0.505,0.354
Danielle McCreery,1.107,2.078,0.408,0.255
James OReilly,0.704,0.979,0.493,0.336
Jimmy Quinn,0.961,0.824,0.506,0.357
W Cahill,0.612,1.032,0.433,0.283
Sheldon Russell,0.264,0.394,0.405,0.24
Patrick Donaghy,0.775,0.891,0.393,0.226
Kirby Harris,0,0,0.615,0.416
Lance Betts,1.453,1.407,0.484,0.348
Gary Edwards,0,0,0.272,0.127
Mr S Bushby,0,0,0.402,0.241
Paul Pickard,0,0,0.3,0.15
Mark Savage,1.002,0.734,0.582,0.432
Suzzanne France,0.379,0.66,0.449,0.277
James Reveley,0.894,0.672,0.567,0.394
Miss R Jefferson,2.905,4.964,0.591,0.416
Miss Serena Brotherton,2.179,1.56,0.562,0.424
Miss Helen Cuthbert,1.66,2.115,0.573,0.429
Miss J Wilmot-Smith,0,0,0.17,0.029
Miss S Arnold,0,0,0.294,0.193
Steve Carson,0.742,0.738,0.485,0.325
Rory Moore,0.55,0.572,0.444,0.284
Leanne Kershaw,0.588,0.81,0.408,0.255
Ashley Hamblett,1.233,1.143,0.576,0.434
Liam Jones,0.824,1.016,0.488,0.324
Frankie Pickard,0,0,0.258,0.102
Mark Coumbe,0.447,0.521,0.517,0.366
Nicol Polli,0,0,0.395,0.239
Lee Enstone,0.253,0.377,0.409,0.265
Katie Hales,0,0,0.239,0.072
Robert Miles,0.465,0.595,0.446,0.288
Donna Aspell,0.607,0.779,0.402,0.251
Kevin Ghunowa,0.541,0.715,0.389,0.23
Kirsty Milczarek,0.581,0.892,0.409,0.251
Shane Kelly,1.072,0.82,0.536,0.385
Adrian McCarthy,0.219,0.314,0.388,0.233
Michael Stainton,0.83,0.93,0.536,0.37
Jemma Marshall,0.302,0.41,0.431,0.29
Matthew Henry,0.693,0.836,0.467,0.311
Stevie Donohoe,0.857,0.747,0.558,0.395
Alan Munro,1.412,1.037,0.563,0.415
Ryan Moore,1.337,0.848,0.575,0.425
Declan McDonogh,1.199,0.779,0.549,0.394
James Doyle,0.616,0.664,0.481,0.325
Mr J P Flavin,0,0,0.387,0.243
Mr T J Burrows,0,0,0.333,0.196
Steven Gagan,0.447,0.454,0.464,0.33
Charlie Poste,0.601,0.767,0.411,0.268
P J McDonald,0.946,0.851,0.464,0.341
Michael OConnell,0,0,0.308,0.119
Andrew Adams,1.291,1.357,0.454,0.286
Fearghal Davis,0,0,0.405,0.305
Michael McAvoy,1.291,1.628,0.549,0.403
Richard Spate,0.616,0.612,0.426,0.306
Robert L Butler,0.425,0.593,0.42,0.284
Alan Dempsey,0.713,0.753,0.409,0.276
Paddy Merrigan,2.207,1.684,0.521,0.414
Chris Honour,0.675,0.686,0.47,0.329
Warren Marston,1.108,0.86,0.464,0.337
Tom Siddall,0.439,0.503,0.398,0.256
Michal Kohl,0.646,0.594,0.579,0.454
Mark Nicolls,0.441,0.62,0.399,0.263
Gerard Tumelty,1.291,1.086,0.435,0.326
Jenny Riding,0,0,0.354,0.227
Oliver Williams,0,0,0.34,0.265
Mr C J Callow,1.937,0.739,0.613,0.485
Harry Haynes,1.66,2.139,0.638,0.453
Mr B King,0.726,0.95,0.358,0.242
Miss Carly Frater,0,0,0.434,0.253
Mr D Greenway,0,0,0.439,0.271
Shane Byrne,0,0,0.59,0.404
Mr Ben Hamilton,0,0,0.324,0.179
Mr S Clements,0.612,0.899,0.491,0.335
Mr D A Fitzsimmons,0,0,0.203,0.088
Miss Alyson Deniel,0,0,0.259,0.182
Seamus Durack,1.123,0.966,0.464,0.335
Richard Johnson,2.025,0.932,0.607,0.478
Tom Scudamore,0.94,0.667,0.509,0.377
Paul W Flynn,0.612,0.688,0.4,0.258
Wayne Hutchinson,1.307,1.091,0.503,0.379
Marcus Foley,1.814,1.305,0.509,0.397
Leighton Aspell,0.972,0.8,0.523,0.376
Derek Laverty,0.426,0.559,0.408,0.276
Richard Hobson,0.197,0.406,0.366,0.22
James Diment,0.697,0.706,0.354,0.242
Robert Stephens,1.076,1.01,0.443,0.321
Christian Williams,1.563,0.913,0.504,0.383
Sean Curran,0.309,0.518,0.355,0.225
Philip Hide,1.226,1.074,0.481,0.346
A P McCoy,2.506,0.845,0.63,0.522
Mr P Cowley,0,0,0.462,0.286
Benjamin Hitchcott,0.633,0.73,0.429,0.286
Mr J A Jenkins,0.213,0.382,0.343,0.197
Lee Newnes,1.49,1.847,0.502,0.377
Mr M Deady,0,0,0.22,0.115
Eamon Dehdashti,0.958,0.973,0.45,0.309
Simon Elliott,0.894,0.829,0.369,0.253
Willie McCarthy,1.256,0.836,0.502,0.372
Robert Thornton,1.558,0.83,0.53,0.42
Mr J Quintin,0,0,0.625,0.391
Jimmy McCarthy,0.542,0.57,0.432,0.295
Jim Culloty,1.196,0.88,0.533,0.407
Mr R McCarthy,0.242,0.286,0.374,0.237
Mr N Kinnon,0,0,0.651,0.45
A Honeyball,0.394,0.539,0.403,0.247
Paddy Brennan,1.385,1.051,0.505,0.37
Tom Malone,1.291,0.978,0.49,0.354
Noel Fehily,1.338,1.006,0.497,0.374
David Dennis,1.179,0.912,0.521,0.382
Andrew Thornton,1.434,1.011,0.486,0.368
Richard Young,0.609,0.608,0.456,0.313
Richard Cosgrave,0,0,0.421,0.311
Mr J Owen,0.553,0.667,0.332,0.195
Jodie Mogford,0.607,0.912,0.386,0.242
Andrew Tinkler,1.056,0.797,0.46,0.344
Mr David Mansell,0,0,0.261,0.171
Wayne Kavanagh,0.56,0.702,0.452,0.302
Adrian Scholes,0.352,0.576,0.368,0.232
Liam Treadwell,0.425,0.608,0.34,0.219
Wayne Jones,0.775,0.545,0.458,0.3
Adam Hawkins,0.704,0.64,0.6,0.431
Lee Stephens,0.96,0.932,0.447,0.314
R P McNally,0.575,0.785,0.341,0.213
Jamie Moore,1.26,0.83,0.521,0.386
Jamie Goldstein,0.763,1.117,0.412,0.277
Patrick C Stringer,0.596,1.027,0.428,0.29
J W Stevenson,0,0,0.31,0.167
Sam Thomas,1.474,0.861,0.536,0.404
Mr Jamie Bunsell,0.968,0.942,0.368,0.265
Keiran Burke,0.56,0.893,0.376,0.248
Mattie Batchelor,1.008,1.084,0.426,0.301
R Walsh,2.574,0.93,0.692,0.571
Mr Simon Walker,1.453,0.839,0.573,0.434
Mr Nick Williams,0.917,0.417,0.423,0.321
Mr M Wilesmith,1.453,2.111,0.49,0.328
Mr S Gray,0,0,0.667,0.467
Rodi Greene,0.367,0.439,0.391,0.256
Mr Richard Collinson,0,0,0.104,0.065
K Olignon,0,0,0.2,0.04
Tom OBrien,1.854,1.59,0.579,0.464
John Kington,0.942,1.067,0.429,0.291
Mr Phillip York,0.581,0.695,0.5,0.322
John Pritchard,0.505,0.675,0.341,0.214
David England,0.894,0.937,0.514,0.425
Mr J Snowden,2.141,1.376,0.56,0.457
Jay Pemberton,0,0,0.26,0.151
Timmy Murphy,1.943,0.91,0.54,0.421
Charlie Huxley,0,0,0.309,0.145
Mr E D Nolan,0,0,0.201,0.113
Daryl Jacob,2.098,1.347,0.543,0.43
Miss Caroline Hurley,2.583,1.485,0.788,0.651
Marc Goldstein,1.182,1.126,0.477,0.339
Miss J Foster,0,0,0.288,0.207
Mr R Hodges,0,0,0.301,0.159
Mr David Turner,0.465,0.801,0.337,0.195
Mr Darren Edwards,1.66,1.907,0.367,0.272
Gerry Supple,0.67,0.893,0.441,0.268
Mr S J Graham,0,0,0.167,0.056
Mr P Collington,0,0,0.558,0.395
Miss Isabel Tompsett,0,0,0.356,0.228
Andrew Glassonbury,0.447,0.4,0.511,0.363
Mr R P Quinn,0.664,0.689,0.457,0.308
Miss C Dyson,0.801,1.827,0.363,0.227
Mr M Wall,0.612,1.354,0.454,0.351
P T Gallagher,0,0,0.448,0.301
E J Cooper,0,0,0.356,0.186
Miss S Sharratt,1.367,1.633,0.516,0.411
Sam Jones,1.291,1.793,0.515,0.371
Miss P M Hearn,0,0,0.537,0.31
Mr David Dunsdon,0.93,0.856,0.498,0.37
Mr C J Sweeney,2.179,1.251,0.569,0.45
Felix De Giles,0,0,0.543,0.387
Mr A J Berry,1.453,0.767,0.587,0.433
Mr C Hughes,0,0,0.425,0.252
Miss E J Jones,0,0,0.447,0.303
Ms Lucy Pearce Rowsell,0.775,1.151,0.294,0.209
Miss E J Tuck,0,0,0.502,0.364
Liam Heard,1.722,0.995,0.573,0.436
Miss L Horner,0.628,0.763,0.438,0.279
Mr M Hooper,0,0,0,0
Mr D J Boland,0.704,0.551,0.542,0.396
James White,0.352,0.361,0.453,0.305
Bernie Wharfe,0.684,1.036,0.392,0.258
Mr Peter Mason,0,0,0.182,0.068
Miss Carey Williamson,0,0,0.252,0.1
Tim Bailey,1.453,1.816,0.266,0.2
Tjade Collier,0.646,1.201,0.349,0.215
Mr Joshua Harris,2.113,2.755,0.434,0.351
Mr Sam Waley-Cohen,1.859,1.054,0.521,0.407
Colin Bolger,0.456,0.57,0.339,0.212
Sam Curling,1.341,1.121,0.512,0.388
Adam Kirby,1.223,0.945,0.534,0.381
Laura Pike,0.528,0.527,0.55,0.386
Alan Daly,0.587,0.755,0.45,0.289
Dean Williams,0,0,0.385,0.226
Frankie Dettori,2.066,0.872,0.603,0.467
J F Egan,1.242,0.962,0.549,0.4
Dane ONeill,1.108,0.928,0.52,0.366
Johnny Murtagh,1.504,0.851,0.622,0.477
Mark Waite,1.937,1.752,0.31,0.215
Pat Cosgrave,0.472,0.53,0.46,0.292
Richard Thomas,0.835,0.935,0.468,0.314
Michael Hills,1.276,0.781,0.566,0.416
Ian Mongan,0.95,0.83,0.491,0.341
Robbie Mills,0.715,0.707,0.485,0.329
Jerry ODwyer,0.306,0.352,0.435,0.254
J S Drynski,0,0,0.475,0.295
Simon Whitworth,0.693,0.791,0.427,0.277
Steve Drowne,1.104,0.846,0.514,0.365
Jamie Jones,0.662,0.722,0.415,0.258
Aurelio Medeiros,0.581,1.016,0.462,0.304
Jimmy Fortune,1.438,0.843,0.58,0.433
Richard Smith,0.194,0.241,0.423,0.267
Wanderson DAvila,0,0,0.192,0.051
Johnny Dekeyser,0.612,0.5,0.592,0.431
R F Keogh,0.676,0.896,0.367,0.225
Paul Doe,0.631,0.794,0.43,0.29
Richard Hughes,1.666,0.951,0.579,0.434
Neil Chalmers,0.462,0.565,0.446,0.277
Tolley Dean,0.436,0.486,0.383,0.242
Brett Doyle,0.623,0.704,0.514,0.355
George Baker,1.344,1.055,0.549,0.403
Robert Havlin,0.935,0.922,0.493,0.338
Amy Baker,1.603,2.188,0.45,0.303
Thomas OBrien,0.453,0.409,0.437,0.272
Stacy Renwick,0.911,1.234,0.425,0.269
Miss Josephine Chini,2.324,2.405,0.597,0.445
Mrs A Cooke,1.66,2.179,0.456,0.331
Miss E A Lalor,1.516,1.633,0.659,0.522
Miss A L Hutchinson,0,0,0.499,0.324
Miss Kelly Burke,1.011,0.811,0.497,0.303
Kelly Harrison,0.83,0.596,0.61,0.439
Miss P Buckley,1.937,1.074,0.546,0.4
Miss Rachel DArcy,0,0,0.607,0.425
Miss A Wallace,0,0,0.434,0.227
Miss K Searby,0,0,0.365,0.152
Miss Faye Bramley,0.968,1.023,0.447,0.306
Miss Lynsey Hanna,0,0,0.567,0.415
Miss Charmaine ONeill,0,0,0.147,0.025
Mrs M Morris,1.937,1.697,0.446,0.354
Miss L Haagensen,3.874,11.431,0.472,0.391
Nelson De Souza,1.6,1.252,0.56,0.41
William Carson,0,0,0.524,0.358
Joseph Walsh,0.567,0.844,0.352,0.205
Fergus Sweeney,0.634,0.693,0.479,0.321
T J Howell,0,0,0.265,0.111
Kieren Fallon,2.361,0.894,0.623,0.49
Steven Harrison,0.415,0.383,0.472,0.318
Esther Remmerswaal,0,0,0.233,0.078
T Quinn,1.311,0.933,0.537,0.388
Laura Reynolds,0.505,0.842,0.442,0.282
Emmett Stack,1.395,1.162,0.477,0.335
Chris Cavanagh,1.107,1.077,0.543,0.354
J D Smith,1.484,1.073,0.572,0.418
Mick Kinane,2.232,0.992,0.585,0.454
Colm ODonoghue,0.715,0.813,0.503,0.346
Richard Rowe,0,0,0.34,0.139
Christophe Soumillon,2.447,1.261,0.626,0.499
Gary Carter,0,0,0.47,0.267
Stephane Pasquier,0,0,0.401,0.163
Marco Monteriso,0,0,0.431,0.287
Christophe-Patrice Lemaire,3.874,2.278,0.599,0.456
David Nuesch,0,0,0.51,0.31
Pat Smullen,1.475,0.747,0.582,0.441
Martin Dwyer,1.327,1.032,0.518,0.37
Fran Berry,1.97,1.15,0.624,0.489
Nash Rawiller,0,0,0.556,0.371
