jockey,IV,A/E,PRB,PRB2
Olivier Peslier,2.324,1.529,0.444,0.34
Andrasch Starke,3.874,2.757,0.759,0.618
Nigel Day,0,0,0.375,0.217
Andreas Suborics,0,0,0.449,0.213
Yutaka Take,0,0,0.833,0.694
Thierry Jarnet,0,0,0.8,0.64
Miss F Cumani,11.621,7.2,1,1
Mrs Emma Littmoden,2.526,1.764,0.675,0.546
Miss J Coward,0,0,0.441,0.301
Miss C Hannaford,0,0,0.51,0.343
Miss L Ellison,0.726,0.709,0.54,0.38
Miss C Baggaley,0,0,0.508,0.32
Mrs Carol Bartley,1.743,1.392,0.489,0.338
Ms N Carberry,2.38,1.079,0.7,0.574
Miss Sarah Perry,0,0,0.239,0.058
Mrs S Bosley,0.581,0.412,0.604,0.42
Kevin Manning,1.195,0.745,0.569,0.415
Mr S Dobson,1.025,0.833,0.457,0.328
Mr R H Fowler,1.516,1.201,0.571,0.461
Jack Mitchell,1.453,1.236,0.487,0.373
Alan Rutter,1.011,0.878,0.598,0.438
Cay Bonhoff,0,0,0.404,0.197
Dr P Pritchard,0,0,0.42,0.256
Oliver Dayman,0.612,1.442,0.352,0.212
Barry Geraghty,1.788,0.859,0.595,0.468
L Metais,0,0,0.482,0.252
Christophe Pieux,0,0,0.333,0.222
Conor ODwyer,1.272,0.71,0.525,0.389
Paul Carberry,2.014,0.924,0.605,0.48
B M Cash,0.46,0.51,0.442,0.291
John Cullen,1.11,0.835,0.527,0.382
D J Casey,1.195,0.752,0.561,0.428
Davy Russell,1.335,0.822,0.573,0.438
G T Hutchinson,0.801,0.725,0.437,0.301
J R Barry,0.572,0.458,0.4,0.282
J P Elliott,0.423,0.435,0.446,0.284
Mr J T McNamara,0.894,0.602,0.523,0.398
Miss P Gundry,2.179,1.189,0.551,0.456
Robbie Power,1.13,0.958,0.508,0.357
Mr R Burton,2.805,1.154,0.671,0.604
Mr A Fitzgerald,0.419,0.359,0.455,0.313
Mr Derek OConnor,1.55,0.805,0.567,0.432
Mr A Wintle,0,0,0.296,0.183
Mr J Jarrett,0,0,0.342,0.203
Mr M J OConnor,1.069,0.781,0.56,0.416
Mr G Weatherley,0,0,0.133,0.053
Mr G Elliott,0.612,0.514,0.45,0.3
Mr R Widger,0.528,0.496,0.425,0.271
Mr K E Power,1.697,1.058,0.581,0.448
Keith Bowens,0.596,0.663,0.514,0.359
Miss Lucy Bridges,0.352,0.337,0.343,0.215
A J Donoghue,0.581,0.613,0.42,0.28
Mr M J OHare,0.758,0.781,0.485,0.37
James OFarrell,0.957,0.992,0.46,0.334
Mr J M Pritchard,0.968,0.706,0.478,0.403
Mr R P Quinlan,0.337,0.31,0.512,0.351
Mr G Hanmer,1.453,1.395,0.317,0.273
Mr D W Cullen,0.581,0.494,0.549,0.42
Denis ORegan,1.071,0.919,0.526,0.377
Davy Condon,0.654,0.575,0.513,0.36
Andrew J McNamara,1.009,0.879,0.547,0.399
Ms A Embiricos,0,0,0.913,0.834
Miss Amaryllis Goschen,1.66,0.946,0.508,0.407
Mr D Kemp,2.905,0.82,0.824,0.7
Mr N Harris,1.66,1.156,0.584,0.49
Mrs Olivia Jackson,0,0,0,0
Mr B Hassett,1.162,1.124,0.412,0.293
Mr J Barnes,0,0,0.239,0.199
Mr Nick Kent,0,0,0.232,0.125
Mr N M Bell,0,0,0.208,0.13
Mr R O Harding,0.456,0.578,0.428,0.272
Vincent Conte,3.32,2.154,0.692,0.555
Mr R Cope,1.66,0.723,0.451,0.371
Mr Rhys Hughes,0,0,0.319,0.203
Miss A de Lisle Wells,0,0,0.311,0.205
Miss C Tizzard,3.67,2.403,0.613,0.514
Miss T Newman,0,0,0.5,0.25
Mr Paul Morris,0,0,0.395,0.192
Mr M Munrowd,0,0,0.28,0.172
Mr J Oldring,0,0,0.449,0.228
Miss T Hayes,0,0,0.167,0.056
Mr R Woollacott,2.905,2.447,0.388,0.334
Miss T Cave,0,0,0.429,0.369
Mr W Hill,2.905,2.102,0.721,0.616
Mr A Puddy,0,0,0.6,0.36
Mr D Barlow,2.324,1.954,0.614,0.494
Andrew Martin,2.583,4.645,0.432,0.364
Mr R Bandey,0,0,0.317,0.179
Mr C Morris,0,0,0,0
Mr J E Tudor,2.021,1.099,0.457,0.399
Mr M Mackley,0.775,0.751,0.39,0.299
Mr J Docker,0,0,0.436,0.286
Miss L Allan,0.83,0.938,0.408,0.273
Mr William Biddick,1.66,1.321,0.469,0.399
Mr Jody Sole,0,0,0.422,0.325
Mr C Gordon,0,0,0.327,0.194
Mr G Kerr,0,0,0.333,0.222
Mr M G Miller,0,0,0,0
Mr T Weston,1.937,0.751,0.505,0.42
Mr M Harris,0,0,0.589,0.52
Miss Tessa Clark,3.32,3.872,0.818,0.692
Mr Geoff Barfoot-Saunt,0,0,0.266,0.142
Nick Oliver,0,0,0.485,0.387
Mrs B Keighley,0,0,0.022,0.002
Mr H Whittington,0,0,0,0
Miss C Stucley,1.937,0.964,0.471,0.371
Miss J Jenner,0,0,0.111,0.025
Mr L R Payter,0,0,0.399,0.232
Justin Morgan,0.517,0.705,0.322,0.2
Martin Ferris,0.222,0.279,0.514,0.343
D F Flannery,0.47,0.543,0.477,0.332
B C Byrnes,0.953,0.951,0.499,0.349
T G M Ryan,1.012,0.85,0.497,0.359
W J Lee,0.498,0.556,0.436,0.286
Mark Walsh,0.663,0.677,0.436,0.299
S M McGovern,1.137,1.022,0.48,0.333
Sean McDermott,0.35,0.451,0.427,0.274
K Hadnett,0.38,0.382,0.451,0.306
J F Levins,0.508,0.542,0.493,0.347
G Cotter,0.703,0.751,0.407,0.274
Arnaud Duchene,0,0,0.542,0.378
Mr Kevin Tobin,0,0,0.494,0.375
Howie Ephgrave,1.291,2.118,0.421,0.329
Robert Molloy,0.397,0.455,0.437,0.279
P A Carberry,0.612,0.659,0.495,0.339
Mr J P Sullivan,0.528,0.648,0.504,0.34
Jack Doyle,1.709,1.177,0.715,0.583
Barry Fenton,1.845,1.363,0.437,0.348
Mr Adrian Brown,0,0,0.119,0.043
P Holley,0.775,1.063,0.295,0.195
Mr J Cook,1.056,0.872,0.342,0.231
Paul Davey,0.775,1.166,0.555,0.382
Mr Wayne Lewis,0,0,0,0
Miss Sarah Robinson,4.649,2.528,0.667,0.606
Major Alex Michael,0,0,0.361,0.198
Johan Lindberg,0,0,0.056,0.009
M Mello,0,0,0.508,0.347
Robbie Moran,0.932,0.841,0.494,0.362
Mr T P Faulkner,0,0,0.444,0.395
Miss F Wilson,0,0,0.598,0.454
Mrs Charlotte Owen,0,0,0.667,0.444
Mr Marc Barber,0,0,0.464,0.329
Mr D S Jones,0,0,0.561,0.478
Mr T Vaughan,0,0,0,0
Mr W Oakes,0,0,0,0
James Millman,0.677,0.736,0.549,0.366
Pat Dobbs,0.782,0.758,0.465,0.308
S Righton,0,0,0.223,0.114
Craig Carver,0.43,0.876,0.349,0.191
Marvin Cheung,0,0,0.052,0.004
Jose de Souza,0,0,0.316,0.16
Miss Ashleigh Horton,0.387,0.71,0.331,0.193
Katia Scallan,0,0,0.606,0.406
Mrs E Evans,0,0,0.471,0.28
Mr S J Edwards,0,0,0.75,0.569
Miss Zoe Lilly,0,0,0.598,0.448
Mr Ashlee Price,0,0,0.556,0.309
Mr M J J Smith,1.66,0.994,0.589,0.443
Kylie Manser,1.835,1.574,0.464,0.328
Mr M D Hill,0,0,0.077,0.012
Mrs J M Berry,0,0,0.889,0.79
Miss Hayley Moore,0,0,0.449,0.262
Miss Sarah West,0,0,0.292,0.174
Gemma Gracey-Davison,0.894,0.932,0.546,0.38
Mrs H Wintle,0,0,0.25,0.125
Mrs S Moore,0.612,0.619,0.577,0.398
Mrs Sarah-Jane Fox,0,0,0.433,0.215
Mrs S Cumani,0,0,0.306,0.094
Miss C Nosworthy,0,0,0.327,0.14
Miss Joey Ellis,0,0,0.157,0.043
Mrs H Clubb,0,0,0.078,0.018
Robyn Brisland,0.363,0.778,0.216,0.108
Stephen Gray,0.209,0.283,0.397,0.237
Darren ODwyer,0,0,0.369,0.2
Miss Angharad Frieze,1.223,3.379,0.405,0.281
Lucy Gardner,1.835,2.437,0.438,0.318
Sean Quinlan,0.83,0.868,0.559,0.392
Mrs N Wilson,0,0,0.498,0.378
Miss J C Williams,1.453,1.141,0.614,0.466
Mrs K Harrison,0,0,0.436,0.236
Dawn Rankin,0,0,0.468,0.323
Miss P Robson,0.894,0.585,0.425,0.319
Nicky Lawes,0.612,0.527,0.445,0.281
Hugo Fellows,0,0,0.503,0.333
Mr C Davies,0,0,0.375,0.156
Chris Glenister,2.324,8.904,0.392,0.27
Jay Harris,0,0,0.377,0.238
Antony Procter,0,0,0.445,0.287
Mr H G Dowty,0,0,0,0
P Griffiths,0,0,0.308,0.176
Mr P Fahey,0.581,0.523,0.504,0.339
Rachael Green,1.453,1.623,0.512,0.393
Miss K James,0,0,0.539,0.445
Mr L Jefford,0,0,0.254,0.151
Mr D Weekes,0,0,0.299,0.139
Mr D McKenna,2.324,3.243,0.644,0.546
Mr Daniel Chinn,1.937,8.837,0.376,0.236
Mr P Sheldrake,0,0,0.634,0.419
Miss C Prouse,0,0,0.727,0.529
Mr Dominic Alers-Hankey,1.937,0.854,0.384,0.312
Gregoire Leenders,0,0,0.758,0.588
Mr C Heard,0,0,0.292,0.17
Mr M Sweetland,0,0,0,0
Miss V Stephens,1.937,3.635,0.383,0.263
Miss S Gaisford,4.785,3.721,0.627,0.543
Miss V Shaw,0,0,0.222,0.099
Mr W White,0,0,0.167,0.056
Miss J Congdon,0,0,0.429,0.227
Mr I Chanin,0,0,0.667,0.444
Mr D Pick,0,0,0.756,0.571
Mr N J Terry,0,0,0.515,0.284
Ryan Cummings,0.775,1.385,0.369,0.217
Charlie Wallis,0,0,0.279,0.156
Mr T Dennis,0,0,0.462,0.213
Mr N Pearce,0.387,0.441,0.291,0.169
Des Flavin,0.335,0.532,0.307,0.2
Mr S G Carey,0.375,0.438,0.442,0.281
Mr C D Thompson,0,0,0.566,0.421
Christopher Murray,0.93,1.29,0.443,0.304
Mr R Armson,0.363,0.558,0.3,0.205
Major H Norton,0,0,0.589,0.375
W A Worthington,0,0,0.435,0.302
Scott Marshall,1.107,1.272,0.429,0.302
Janice Webster,0,0,0.306,0.113
Miss J Hannaford,0,0,0.464,0.289
Miss M Sowerby,0,0,0.653,0.479
Miss Michelle Mullineaux,0,0,0.339,0.196
Miss V Ferguson,0,0,0.247,0.143
K May,0,0,0.323,0.152
John Brennan,0.83,0.679,0.509,0.338
Sean Yourston,0,0,0.178,0.04
Joseph Loveridge,0,0,0.361,0.199
Miss Frances Harper,0,0,0.181,0.042
Leon Harman,0,0,0.454,0.296
Dale Swift,0,0,0.384,0.186
Jamie Hamblett,1.66,1.883,0.464,0.321
Thierry Gillet,3.874,1.093,0.873,0.77
Bradley Roper,0,0,0.693,0.498
Debra England,0,0,0.631,0.477
Chris Timmons,3.874,2.432,0.626,0.47
Danny Grant,0.189,0.259,0.427,0.274
Brian Hughes,0.651,0.781,0.462,0.308
Mr R J Barrett,2.905,5.138,0.549,0.457
Mr R Langley,0,0,0.223,0.108
Mr M Thompson,0,0,0.354,0.188
Mr M Seston,1.453,1.137,0.558,0.416
Liam Berridge,0,0,0.319,0.214
Mr J A Richardson,0,0,0.304,0.161
Mr T Oates,1.66,1.567,0.526,0.486
Mr R Abrahams,2.905,1.078,0.719,0.554
Miss J Hollands,0,0,0.367,0.203
Mr J Muir,0,0,0.4,0.16
Dale Jewett,0,0,0.102,0.045
Mr R S Brown,0,0,0,0
Chris Hayes,1.096,0.902,0.567,0.415
Mr R C Morris,0,0,0.7,0.49
Stephen Cairns,0,0,0.613,0.461
Mr W Hogg,2.905,1.615,0.564,0.429
Mr J McShane,0,0,0.2,0.04
Terry Lucas,0.352,0.602,0.34,0.195
Mr A T Duff,1.094,1.094,0.555,0.412
Mr G Goldie,0,0,0.633,0.449
Mr Mehdi Lesage,5.811,8.311,0.773,0.649
Mr Michael Figge,0,0,0.909,0.826
Henrik Engblom,5.811,5.44,0.727,0.603
Jan-Erik Neuroth,0,0,0.348,0.122
Mr Diego Sarabia,0,0,0.091,0.008
Amy Routledge,0,0,0.446,0.331
Dominic Fox,0.465,0.595,0.414,0.266
Stephanie Bancroft,0.83,1.696,0.307,0.162
Mr W Russell,1.937,3.093,0.533,0.359
Daniel Hutchison,1.453,1.222,0.779,0.635
Mr Ross Birkett,0,0,0.454,0.296
Mr R Ramloll,0,0,0.25,0.062
Mr E Hartman,0,0,0.162,0.026
Mr P Jarvis,0,0,0.083,0.007
Luke Morris,1.453,1.117,0.45,0.318
Wayne Lordan,0.966,0.757,0.517,0.367
Mr S Peltell,0,0,0.455,0.353
Neil Walker,0.83,0.85,0.567,0.417
Mr A Walton,0,0,0.636,0.408
Mr G Brewer,0.968,0.642,0.565,0.424
Mr J Burley,0,0,0,0
Miss J Wickens,0,0,0,0
Mr A Braithwaite,0,0,0.083,0.042
Alex Merriam,0,0,0.563,0.355
Miss Vicky Simpson,0,0,0,0
Mr M Bennison,0,0,0.5,0.25
Mr George Greenock,0,0,0.6,0.36
Mrs S Hodge,0,0,0,0
Craig Messenger,0,0,0.326,0.163
Mr T F Woodside,3.874,2.331,0.59,0.472
Miss Claire Milne,0,0,0.167,0.028
Mr J Newbold,0,0,0.216,0.108
Mr A Hickman,0,0,0.468,0.34
Mr P G Hall,3.32,1.344,0.452,0.385
Chris Davies,1.291,1.585,0.341,0.244
Richard Killoran,0,0,0.556,0.416
Miss H Grissell,0,0,0.599,0.395
Mr R Bliss,0,0,0.398,0.319
Miss Rosemary Williams,0,0,0.083,0.014
Mr N Moore,0,0,0.312,0.197
Mr F Hutsby,0,0,0.083,0.014
Mr R Morgan,1.056,0.775,0.541,0.422
Mr N Bloom,0,0,0.667,0.444
Mr D Phelan,0,0,0.292,0.17
Mr N Benstead,0,0,0.333,0.111
Ms Lisa Stock,0,0,0,0
Mr Rupert Stearn,0,0,0,0
Gary Wales,0,0,0.246,0.066
Luke Smith,1.937,1.578,0.45,0.287
Pat McCabe,0,0,0.467,0.28
Russell Price,0,0,0.167,0.028
Tomas Bosak,0,0,0.6,0.36
Mr J Mead,0,0,0.4,0.16
Julian Marinov,0,0,0.727,0.529
Benoit Gicquel,0,0,0.917,0.84
Pierce Gallagher,0,0,0.303,0.162
N G McCullagh,1.02,0.819,0.539,0.381
T Mundry,0,0,0.333,0.111
Mr A Chahal,0,0,0.435,0.239
Mr M DArcy,0,0,0.497,0.261
Mr Joseph Akehurst,0,0,0.474,0.224
Mr D Collier,0,0,0.567,0.346
Mr Chris Martin,0,0,0.254,0.135
H Muya,0,0,0.548,0.314
Jean-Baptiste Hamel,0,0,0.889,0.79
Mlle Stephanie Husser,0,0,0.778,0.605
Mr O Sauer,0,0,0.667,0.444
Miss D Gillam,0,0,0.556,0.309
Miss J Patterson,0,0,0.444,0.198
Miss G Mathisen,0,0,0.222,0.049
D Grilli,0,0,0.111,0.012
Miss C Gatta,0,0,0.438,0.383
Mrs V Davies,0,0,0.418,0.218
Ms Sharon Hamilton,0,0,0.364,0.132
Miss V Haigh,0,0,0.273,0.074
Miss L Stead,3.874,2.896,0.626,0.462
N Bazeley,4.649,3.377,0.548,0.45
Mr R T A Tate,2.324,0.918,0.57,0.462
Mr B Woodhouse,2.905,1.791,0.744,0.626
Miss Nadine Forde,0,0,0.516,0.316
Miss W Gibson,0,0,0.395,0.258
Miss A Armitage,0,0,0.297,0.145
Miss S Cockerill,0,0,0.564,0.393
J J Behan,0.47,0.496,0.473,0.32
John Panas,0,0,0.234,0.056
Simon Pearce,0,0,0.671,0.463
Mr C Ellingham,0,0,0.389,0.203
Lee Edwards,0,0,0.406,0.252
Mr M Price,0,0,0.429,0.24
Mr John Ennis,0.43,0.334,0.575,0.423
David Verco,0,0,0.261,0.125
Joffret Huet,0,0,0.053,0.004
Miss S Beddoes,0,0,0.275,0.158
Mr D F Williams,0,0,0.3,0.09
Mr M Scales,0,0,0.275,0.141
Mrs A Hand,0,0,0.372,0.208
Mr B Gallagher,0,0,0.501,0.385
Miss Hannah Watson,0,0,0.338,0.231
Mr S Ross,0,0,0.267,0.142
Mr A Hanly,0,0,0.2,0.08
Mr A Sansome,0,0,0.333,0.111
Mr J Mahot,0,0,0.042,0.01
Miss Kelda Wood,0,0,0.111,0.037
Miss Rachel Reynolds,0,0,0.2,0.08
Mr M Rimell,0,0,0.826,0.694
Mr E OGrady,0.684,0.54,0.642,0.499
Mr J Thompson,0,0,0,0
Mr A Waugh,0,0,0.5,0.376
Mr P Cornforth,5.811,2.917,0.821,0.707
Mr Luke Morgan,1.453,0.59,0.625,0.533
Mr C Gillon,0,0,0.125,0.062
Alistair Findlay,0,0,0.15,0.112
Mrs L Ward,0,0,0.389,0.302
Miss G Swan,0,0,0.585,0.344
Miss R Cowie,0,0,0.312,0.102
Miss L Kendall,0,0,0.208,0.087
Miss C Metcalfe,2.905,1.957,0.707,0.58
Mr R W Green,0,0,0.55,0.305
Mr R Trotter,0,0,0.4,0.17
Mr D Slattery,0,0,0.701,0.505
Mr B R Hamilton,0,0,0.418,0.27
Miss J A Kidd,0,0,0.398,0.256
Richard Tierney,2.905,2.027,0.402,0.298
Mr P Lishman,0,0,0.25,0.125
Mrs K L Darmody,0,0,0.3,0.09
Mr T Lane,3.874,3.22,0.59,0.531
Miss Jodie Hughes,0,0,0.493,0.354
Carrie Ford,0,0,0.349,0.236
Miss A Hockley,0,0,0.385,0.148
Mr N A B Chapman,0,0,0,0
Mr E Imelov,0,0,0.167,0.083
Miss A L Stennett,0,0,0.538,0.343
Mr M Gorman,0,0,0.719,0.517
Mr R Wakeham,0,0,0.269,0.113
Mr W Kinsey,0,0,0.178,0.079
Cyrille Leveque,0,0,0.062,0.012
David Cullinane,0,0,0.667,0.444
W Dowling,0,0,0.378,0.237
James Halliday,0,0,0.333,0.111
Mr Jamie Alexander,0,0,0.286,0.163
Mr G Willoughby,0,0,0.434,0.192
Mr J Cookson,0,0,0.4,0.16
Miss K Bryson,0,0,0,0
Mr D Thomas,0,0,0.7,0.49
Mrs V Jackson,0,0,0.5,0.25
L Kasal,0,0,0.556,0.309
D Harold,0,0,0.478,0.269
Mr G Tuer,0,0,0,0
Mrs N Neill,0,0,0.771,0.605
Mr P Maitland-Carew,0,0,0.458,0.318
Mr M Ellwood,0,0,0.284,0.17
M Howard,1.107,0.995,0.461,0.328
Miss Angela Barnes,0,0,0.184,0.057
Mr E Magee,0,0,0.258,0.116
Miss T Harrison,3.874,1.047,0.583,0.521
Mr W Goldie,0,0,0,0
Diego Dias,0,0,0.414,0.25
Valdir De Souza,1.011,1.051,0.575,0.433
Mr A Brooke,0,0,0.07,0.011
Eddie Power,0.266,0.341,0.451,0.281
Mr Stuart Robinson,0,0,0.083,0.014
Mr M Keel,0,0,0.357,0.255
Mr M Morley,0,0,0,0
Mr H Kinchin,0,0,0,0
Chris Hough,0,0,0.313,0.175
Jennifer Ferguson,0,0,0.339,0.185
Miss J Powell,3.874,3.923,0.586,0.454
Miss Sarah-Jayne Davies,0,0,0,0
Miss Joanna Rees,0,0,0.556,0.455
Miss E Tucker,0,0,0.562,0.316
Miss A Bevan,0,0,0.31,0.112
Miss Karen Jewell,0,0,0.465,0.323
Mrs L Dace,1.66,3.011,0.495,0.367
Stuart Haddon,1.291,2.712,0.328,0.197
Mr A G Cash,0.968,1.784,0.454,0.269
Mr W M OSullivan,0,0,0,0
Miss C J Macmahon,0,0,0.46,0.299
Mr G Wragg,0,0,0.462,0.426
Mr J T Keeling,0,0,0.469,0.296
Daniel Howard,0.304,0.321,0.458,0.317
Ken Whelan,0.222,0.294,0.403,0.243
Alan Crowe,0.588,0.503,0.465,0.306
Niall P Madden,1.024,0.792,0.544,0.391
Ms K Walsh,2.299,1.418,0.638,0.486
Mr P J Millington,0,0,0,0
Ross Geraghty,0.484,0.515,0.425,0.285
Mr M Lurcock,0,0,0.244,0.107
Mr Jamie Jenkinson,0,0,0.35,0.179
Miss S Phizacklea,0,0,0.627,0.428
Miss Lorna Brooke,0,0,0.219,0.091
Mr T Ellis,0,0,0,0
Mr C Kilgour,0,0,0,0
Mr J Buxton,0,0,0,0
Mr A Wadlow,0,0,0.357,0.255
Miss J Houldey,0,0,0,0
Mr G P Wright,0,0,0,0
Mr K H Clarke,0.114,0.217,0.379,0.22
Johnny Farrelly,0.387,0.4,0.368,0.222
Mr Shaun Johnson,0,0,0.294,0.087
Michael Darcy,0.8,0.727,0.514,0.372
Mr K Green,0,0,0.504,0.382
Mr J Haley,0,0,0,0
Mr G Pewter,0,0,0.333,0.222
Mark Grant,0,0,0.432,0.261
P J Scallan,0,0,0.361,0.2
Mr J J Best,0,0,0.444,0.198
Miss Annika Kallse,11.621,4.5,1,1
Frau Paula Wolters-Flierman,0,0,0.75,0.562
Mme Nadia Volz,0,0,0.375,0.141
Miss E Johansson,0,0,0.236,0.056
Mme Catherine Rieb-Menard,0,0,0.125,0.016
Mrs Lucinda Crowley,0,0,0.833,0.694
Amy Ryan,3.874,2.978,0.589,0.44
Mr J P Magnier,1.595,0.602,0.692,0.549
Mr A M OBrien,0,0,0.438,0.235
M Dixon,0,0,0.667,0.444
T Burton-Pye,0,0,0,0
Craig Lidster,0,0,0.721,0.526
Mr Nicky Tinkler,0,0,0.295,0.1
Charlotte Kerton,2.324,2.464,0.481,0.375
E Legrix,0,0,0.778,0.605
Mr G Bissessur,0,0,0.636,0.405
James Banks,0,0,0.533,0.347
Mr T Thomas,0,0,0.379,0.2
Miss F Guillambert,0,0,0.457,0.294
Mrs Marie King,0,0,0.616,0.439
T Hellier,0,0,0.667,0.444
Gerald Mosse,5.811,5.25,0.857,0.755
E Botti,0,0,0.333,0.111
Antonio A Gallardo,0,0,0.375,0.141
Mr R Darke,0,0,0,0
Mrs Jo Supple,0,0,0.667,0.444
Miss B P Donnelly,0,0,0.147,0.071
Mr F Brennan,0,0,0.294,0.087
Joanna Badger,0,0,0.296,0.198
Gavin Faulkner,0,0,0.573,0.428
Mr D Cottle,5.811,4.964,0.7,0.58
Mr G Gallagher,0,0,0.75,0.562
Miss H Warbrick,0,0,0.4,0.16
Amy Kathleen Parsons,0.171,0.239,0.491,0.324
Miss Susannah Wileman,0,0,0.091,0.017
Manuel Santos,0,0,0.333,0.111
Shane Creighton,0,0,0.475,0.285
Sophie Doyle,0,0,0.817,0.667
Ms D Goad,0,0,0.333,0.111
Mr Sean Kerr,0,0,0.083,0.014
Mr Jim Lawless,0,0,0.25,0.125
D Manning,0,0,0.389,0.223
Miss Donna Handley,0,0,0.6,0.36
Mr O Cole,0,0,0.585,0.345
Miss F Turner,0,0,0.147,0.026
M Cotton,0,0,0.091,0.008
John Considine,0,0,0.045,0.004
Stephane Breux,1.056,0.814,0.56,0.433
Mr R Elliott,0,0,0.558,0.407
Mr J Burdon,0,0,0.458,0.226
Espen Ski,0,0,0.171,0.033
Francisco Da Silva,0,0,0.405,0.233
James Rogers,0,0,0.466,0.298
Jack Dean,0,0,0.322,0.164
K Pierrepont,1.788,2.03,0.566,0.406
T Williams,0,0,0.346,0.183
A Beech,5.811,1.191,0.8,0.68
S Archer,0,0,0.273,0.074
T Woodley,0,0,0.192,0.074
Manav Nem,0,0,0.089,0.012
Dawn Watson,0,0,0.508,0.301
Miss A L Turner,0,0,0.304,0.122
