sire,IV,A/E,PRB,PRB2
Valid Expectations (USA),0,0,0.333,0.141
Dracula (AUS),0.505,0.61,0.347,0.204
Quiet American (USA),0.27,0.211,0.433,0.277
Statoblest (IRE),0,0,0.271,0.084
A P Indy (USA),2.179,1.335,0.606,0.497
Sternkoenig (IRE),2.583,1.197,0.663,0.548
Lils Boy (USA),0.758,0.672,0.462,0.31
Expelled (USA),0,0,0.271,0.169
Winning Gallery (GB),1.788,1.997,0.574,0.431
Matty G (USA),0,0,0.402,0.164
Wesaam (USA),0,0,0.077,0.006
Theatrical (IRE),1.162,0.859,0.518,0.376
Hornbeam (GB),0,0,0.268,0.153
Grand Slam (USA),0.612,0.536,0.416,0.267
Jade Robbery (USA),2.179,1.525,0.569,0.408
Danzig (USA),2.324,1.025,0.639,0.513
Mt Livermore (USA),0.946,0.848,0.539,0.368
Bettergeton (GB),0,0,0.758,0.636
Roar (USA),0,0,0.588,0.437
Royal Anthem (USA),1.192,1.244,0.479,0.335
Dynaformer (USA),1.614,0.969,0.557,0.415
Storm Cat (USA),2.257,0.903,0.642,0.513
Sorbie Tower (IRE),1.859,1.344,0.614,0.446
Cats Career (USA),2.583,1.151,0.79,0.663
War Chant (USA),1.025,0.763,0.603,0.448
Barathea Guest (GB),0,0,0.61,0.394
Fumo Di Londra (IRE),0.769,0.796,0.471,0.314
Brahms (USA),5.811,4.506,0.853,0.755
Kalanisi (IRE),1.03,0.893,0.533,0.381
Ela-Mana-Mou (IRE),1.24,0.922,0.547,0.409
Botanic (USA),0.758,0.575,0.518,0.365
Agnes World (USA),0.775,0.946,0.445,0.3
Green Horizon (GB),1.162,1.12,0.471,0.313
Black Minnaloushe (USA),1.395,0.764,0.683,0.535
Bianconi (USA),0.968,1.838,0.398,0.249
Handsome Ridge (GB),0,0,0.31,0.141
Fly To The Stars (GB),2.905,1.708,0.699,0.553
Storm Creek (USA),0.612,0.395,0.454,0.291
Prized (USA),2.075,1.263,0.53,0.41
Skip Away (USA),0,0,0.163,0.039
Tannenkonig (IRE),1.367,1.39,0.338,0.209
Jambalaya Jazz (USA),1.291,1.381,0.712,0.55
Bold Arrangement (GB),0.684,1.127,0.43,0.272
Citidancer (USA),1.162,1.416,0.656,0.533
Horse Chestnut (SAF),0.894,0.438,0.51,0.379
Rainbow Prospect (USA),0,0,0.51,0.31
Fuji Kiseki (JPN),1.937,1.892,0.503,0.354
National Assembly (CAN),0,0,0.413,0.216
Seattle Slew (USA),3.874,2.783,0.634,0.512
Elusive Quality (USA),1.937,1.021,0.667,0.534
Ghazi (USA),0.968,0.742,0.437,0.293
More Than Ready (USA),2.905,0.811,0.832,0.702
Wild Again (USA),1.056,1.256,0.512,0.332
Belong To Me (USA),0.968,0.635,0.546,0.387
Cigar (GB),0.401,0.29,0.318,0.188
Baryshnikov (AUS),0,0,0.313,0.192
Hussonet (USA),1.291,0.826,0.503,0.384
Dumaani (USA),0.775,0.641,0.45,0.281
Minardi (USA),0.726,0.417,0.572,0.394
Dancing Dissident (USA),1.256,0.89,0.487,0.327
Pleasant Colony (USA),0,0,0.319,0.201
King Cugat (USA),1.66,1.76,0.418,0.309
Kings Signet (USA),1.189,1.221,0.449,0.318
Lear Spear (USA),0.646,0.542,0.423,0.258
High Yield (USA),3.39,2.156,0.554,0.435
Housebuster (USA),1.743,1.069,0.595,0.45
Deputy Commander (USA),0.447,0.368,0.51,0.365
Awad (USA),0.726,0.615,0.508,0.36
Chester House (USA),1.535,0.73,0.652,0.507
Inzar (USA),1.041,0.97,0.443,0.291
Raphane (USA),0.634,0.582,0.406,0.275
Arch (USA),2.235,0.948,0.709,0.562
Compton Admiral (GB),0.528,0.951,0.32,0.197
Framlington Court (GB),0,0,0.842,0.709
Brush Aside (USA),0.684,0.601,0.451,0.312
Shining Steel (GB),0.612,0.433,0.493,0.353
Top Ville (IRE),0,0,0.169,0.065
Grand Tresor (FR),0.387,0.19,0.581,0.464
Sanglamore (USA),1.453,0.966,0.634,0.487
Grand Plaisir (IRE),0.26,0.259,0.472,0.333
Mulberry (FR),0,0,0.182,0.092
Tremblant (GB),1.223,1.358,0.344,0.254
Noble Patriarch (IRE),0.894,0.536,0.425,0.308
Rahotep I (FR),0,0,0.229,0.094
Nestor (IRE),4.649,2.137,0.543,0.502
All Haste (USA),1.162,2.509,0.389,0.258
Chamberlin (FR),1.107,0.863,0.506,0.34
Shafoun (FR),0,0,0.427,0.322
Apeldoorn (FR),1.5,0.764,0.547,0.439
Beauchamp King (GB),0,0,0.241,0.122
Ajdayt (USA),1.722,1.002,0.569,0.412
Riverwise (USA),1.367,1.256,0.403,0.299
Jacksons Drift (USA),1.367,1.358,0.47,0.324
Colon (GER),1.291,0.794,0.402,0.263
Beau Sher (GB),1.573,0.961,0.588,0.458
Alwuhush (USA),1.453,0.772,0.333,0.242
Our Account (USA),2.905,1.318,0.491,0.403
Bateau Rouge (IRE),2.324,0.715,0.427,0.305
Assessor (IRE),3.418,2.295,0.543,0.47
Lute Antique (FR),2.113,1.501,0.617,0.487
Glaieul (USA),1.937,1.176,0.538,0.406
Roi Danzig (USA),1.291,1.122,0.432,0.327
Van Der Linden (FR),0.894,1.24,0.408,0.288
Fijar Tango (FR),1.66,1.281,0.39,0.296
Sarpedon I (FR),0,0,0.41,0.338
Pamponi (FR),0,0,0,0
Access Ski (GB),0,0,0.35,0.222
Legend Of France (USA),3.169,1.584,0.681,0.535
Solidoun (FR),0,0,0.071,0.01
Sir Felix (FR),1.66,1.204,0.738,0.571
Officiel (FR),0,0,0.356,0.176
Frimaire (GB),1.162,0.742,0.622,0.489
River Bay (USA),2.583,1.455,0.482,0.37
Alesso (USA),0,0,0.855,0.733
Point Of No Return (FR),0,0,0.577,0.353
Poliglote (GB),2.712,1.032,0.722,0.604
Ganges (USA),0,0,0.463,0.277
Synefos (USA),0.85,0.815,0.46,0.317
Standiford (USA),0.375,0.37,0.47,0.328
Chef De Clan (FR),0,0,0.663,0.532
Kendor (FR),0,0,0.662,0.509
Taos (IRE),0,0,0.369,0.242
Cajetano (USA),2.324,0.625,0.633,0.528
Vaguely Pleasant (FR),3.874,1.302,0.745,0.664
Commander In Chief (GB),4.649,1.49,0.814,0.701
True Brave (USA),2.113,1.089,0.578,0.454
Jallad (USA),0,0,0.625,0.464
Scooter Bleu (IRE),0,0,0.091,0.025
Nashamaa (IRE),0.894,0.504,0.53,0.419
Out Of Place (USA),0,0,0.211,0.108
Bad Conduct (USA),0,0,0.474,0.332
Zabeel (NZ),1.291,0.85,0.718,0.541
Jamesmead (GB),0,0,0.475,0.317
Right Win (IRE),0.596,0.522,0.446,0.322
Port Lyautey (FR),1.788,0.937,0.612,0.513
Ethique (ARG),4.358,1.985,0.602,0.525
Al Mufti (USA),1.66,0.457,0.708,0.547
Broadsword (USA),0.83,0.831,0.401,0.272
Marchand De Sable (USA),3.486,0.888,0.661,0.528
Welsh Captain (GB),0.775,0.867,0.388,0.245
High Roller (IRE),0.439,0.573,0.344,0.201
Henbit (USA),1.038,0.987,0.417,0.29
Scottish Reel I (IRE),0,0,0.207,0.15
Perrault (GB),1.256,0.765,0.53,0.404
Rose Laurel (GB),2.905,3.002,0.742,0.583
Ilium (GB),0.646,0.529,0.336,0.207
Le Riverain (FR),0.894,1.131,0.538,0.351
Ikdam (GB),1.125,0.863,0.498,0.373
Black Minstrel (GB),0,0,0.41,0.225
Magical Strike (USA),1.025,1.111,0.548,0.397
Exattic (USA),5.811,3.699,0.918,0.85
Macmillion (GB),2.905,1.646,0.82,0.698
Sizzling Melody (GB),0,0,0.6,0.36
Electric I (GB),0,0,0.308,0.189
Brotherly (USA),2.905,2.274,0.462,0.429
Matahawk (GB),0,0,0,0
Mystiko (USA),0,0,0.546,0.401
Silver Rainbow (GB),0,0,0.31,0.19
Crested Lark (GB),0,0,0.313,0.197
Revolutionary I (USA),0,0,0.26,0.146
Casteddu (GB),0.861,1.255,0.308,0.179
Riberetto (GB),0.684,0.489,0.459,0.295
Norton Challenger (GB),0,0,0.279,0.189
Sharp Charter (GB),0.894,1.045,0.3,0.209
Ecossais I (FR),0,0,0,0
Bustino (GB),1.056,0.664,0.527,0.386
Idiots Delight (GB),0,0,0.643,0.443
Sicyos (USA),5.811,1.69,0.773,0.699
Balinger (GB),0.83,0.776,0.43,0.302
Balleroy (USA),0,0,0.46,0.31
Iron Duke (FR),0,0,0.41,0.338
Northern Flagship (USA),1.202,0.921,0.578,0.425
Dauphin Du Bourg (FR),2.905,0.932,0.621,0.509
Dushyantor (USA),1.564,1.248,0.566,0.428
Sheyrann (IRE),1.245,1.106,0.499,0.34
Celtic Arms (FR),5.811,1.167,0.711,0.68
Beaudelaire (USA),3.32,2.149,0.632,0.488
Tale Of The Cat (USA),0.85,0.606,0.489,0.342
Lesotho (USA),3.169,1.594,0.546,0.468
Erdelistan (FR),1.291,1.577,0.593,0.45
Alkalde (GER),3.058,1.447,0.709,0.605
Robin Des Pres (FR),5.811,1.651,0.86,0.769
Rhoman Rule (USA),0,0,0.255,0.089
Cosmonaut (GB),1.585,1.178,0.518,0.396
Spanish Place (USA),0.298,0.329,0.504,0.322
Son Of Silver (GB),0,0,0.262,0.173
Iris Noir (FR),4.842,1.869,0.652,0.558
Kaldou Star (GB),3.874,1.714,0.806,0.669
Port Etienne I (FR),7.748,2.761,0.667,0.667
Sayaarr (USA),0.684,0.58,0.306,0.204
Merrymount (GB),0.968,1.087,0.367,0.286
Sky Chase (NZ),0,0,0.4,0.16
Kylian (USA),2.011,1.368,0.646,0.514
The Wonder (FR),0,0,0.468,0.251
Rivelago (FR),0,0,0.157,0.058
Bustineto (GB),1.937,1.649,0.407,0.294
Northern Park (USA),1.162,0.978,0.576,0.425
Panoramic I (GB),0.83,1.017,0.378,0.243
Classic Memory (GB),1.291,1.264,0.601,0.463
Rochesson (FR),0,0,0.318,0.202
Cataldi (GB),0.323,0.34,0.377,0.269
Nordance (USA),0,0,0.233,0.163
Cashwyn (GB),0,0,0,0
Out Of Hand (GB),0,0,0,0
Almoojid (GB),3.874,2.18,0.4,0.36
Hushang (IRE),2.051,1.219,0.506,0.407
Forest Wind (USA),1.223,0.959,0.41,0.271
Homme De Loi (IRE),1.367,0.606,0.541,0.374
Tzar Rodney (FR),3.874,1.537,0.733,0.608
Semillon (GB),0.634,0.617,0.389,0.263
Nordic Brave (GB),1.056,0.591,0.68,0.534
Riverman (USA),1.859,1.364,0.596,0.484
Versailles Road I (USA),0,0,0.234,0.166
Freeland (FR),2.324,0.691,0.645,0.514
Aristocracy (IRE),0.968,0.852,0.475,0.347
Valanour (IRE),2.905,1.625,0.417,0.361
Lost World (IRE),1.011,0.866,0.358,0.232
Kadounor (FR),0,0,0.343,0.261
Southern Music (GB),0,0,0.15,0.062
Miners Lamp (GB),0,0,0.106,0.045
Djarvis (FR),0,0,0.691,0.484
Sky Lawyer (FR),2.905,2.001,0.685,0.562
Le Coq DOr (GB),1.453,1.844,0.464,0.358
Comme LEtoile (GB),0,0,0.114,0.046
Brocco (USA),2.324,1.934,0.535,0.433
Sunley Builds (GB),0,0,0.4,0.247
Hereward The Wake (USA),0,0,0.15,0.034
Bar Dexter (USA),0,0,0.667,0.444
Derring Rose (GB),0,0,0.556,0.309
Killer Instinct (GB),0,0,0.216,0.081
Cape Canaveral (USA),0,0,0.522,0.353
Dixieland Band (USA),1.516,0.835,0.623,0.488
Acambaro (GER),2.324,2.137,0.486,0.373
Montjoy (USA),0,0,0.447,0.276
Great Commotion (USA),0.82,0.676,0.539,0.378
Adieu Au Roi (IRE),0,0,0.263,0.101
Wadood (USA),0,0,0.37,0.205
Military Fashion (GB),0,0,0.444,0.204
Mamalik (USA),0,0,0.359,0.155
Mazurek (GB),0,0,0,0
Carnegie (IRE),1.328,1.139,0.379,0.267
Devils Bag (USA),0,0,0.402,0.255
Kaldounevees (FR),1.859,1.105,0.558,0.444
Souvenir Copy (USA),0,0,0.469,0.306
Portrait Gallery (IRE),0.423,0.633,0.471,0.303
Hazaaf (USA),0,0,0.506,0.294
Fourth Of June (USA),0,0,0.146,0.064
Nomination (GB),0,0,0.211,0.07
Accondy (IRE),1.937,2.227,0.424,0.307
Cape Town (USA),0,0,0.363,0.217
Pairumani Star (IRE),0,0,0.534,0.353
Dernier Empereur (USA),1.162,0.953,0.497,0.422
Sooty Tern (GB),0,0,0.389,0.179
Zahran (IRE),1.937,3.587,0.419,0.289
Castle Keep (GB),0,0,0.423,0.283
Posidonas (GB),1.291,1.718,0.607,0.465
Solid Illusion (USA),2.905,2.157,0.278,0.253
Private Despatch (USA),0,0,0.232,0.071
High Ice (USA),0,0,0,0
Mistertopogigo (IRE),0,0,0.227,0.121
Kuwait Beach (USA),0,0,0.132,0.061
Goldneyev (USA),2.324,1.526,0.602,0.488
Neustrien (FR),1.66,1.701,0.345,0.258
Altountash (GB),0,0,0.295,0.133
Denham Red (FR),0.83,0.962,0.474,0.332
Nearly A Hand (GB),2.682,1.065,0.504,0.408
Signe Divin (USA),0.83,0.435,0.44,0.319
Baron Blakeney (GB),1.453,1.405,0.444,0.344
Lyphento (USA),0.646,0.518,0.422,0.286
Broad Brush (USA),0,0,0.335,0.127
Akarad (FR),2.324,1.262,0.529,0.413
Honour And Glory (USA),0,0,0.374,0.219
Nicholas (USA),0,0,0.409,0.24
Shahrastani (USA),0.258,0.316,0.437,0.271
Even Top (IRE),0.83,1.288,0.448,0.342
Mutamam (GB),0,0,0.485,0.34
Nugget Point (IRE),0,0,0.058,0.006
Tiznow (USA),1.453,2.121,0.529,0.382
Almushtarak (IRE),1.367,1.821,0.513,0.36
Unaccounted For (USA),1.453,3.726,0.349,0.212
Astair (FR),1.162,1.111,0.39,0.265
Don Corleone (GB),0,0,0.481,0.305
Hollow Hand (GB),0.553,0.701,0.413,0.262
New Reputation (GB),0,0,0.538,0.29
Fill My Hopes (FR),1.291,0.688,0.462,0.343
Luth Dancer (USA),0,0,0.538,0.369
Minds Music (USA),2.324,1.062,0.52,0.38
Rising (GB),0,0,0,0
Scribano (GB),0.917,0.776,0.511,0.38
Wild Law (GB),0,0,0.094,0.018
Thornberry (USA),0,0,0,0
Village Star (FR),3.874,0.723,0.8,0.687
Alpha Tauri (FR),0,0,0.158,0.039
Byzantium (FR),0,0,0.421,0.356
Classic I (GB),5.811,5.204,0.95,0.905
White Prince (USA),0,0,0.317,0.134
Salluceva (IRE),0,0,0.167,0.083
Toca Madera (IRE),1.66,1.444,0.47,0.398
Endeavour (USA),5.811,0.909,0.846,0.74
Broadway Flyer (USA),2.324,1.617,0.499,0.371
Vaquillo (USA),0,0,0.659,0.46
Landyap (USA),2.324,2.885,0.389,0.288
Cruise Missile (GB),0,0,0,0
Roi De Rome (USA),0,0,0.243,0.157
Scribe I (IRE),3.874,1.681,0.689,0.577
Joligeneration (GB),2.905,6.714,0.45,0.332
Dawn Johnny (USA),0,0,0.208,0.087
Freedoms Choice (USA),2.583,1.437,0.416,0.352
Ashmolean (USA),0,0,0.526,0.329
Freedom Cry (GB),1.291,0.569,0.56,0.407
Kambalda (GB),0,0,0.312,0.254
Itsu (USA),0,0,0.745,0.567
K-Battery (GB),0,0,0.278,0.12
Cupidon (FR),0,0,0.304,0.193
Wimbleball (GB),0,0,0.292,0.101
Governor General (GB),0,0,0.453,0.296
Caller I D (USA),0,0,0.476,0.314
Professional (IRE),3.874,7.361,0.717,0.574
You My Chief (GB),0,0,0,0
Peacock I (FR),1.788,1.407,0.326,0.256
Wakashan (GB),0,0,0.455,0.262
Gunboat Diplomacy (FR),0,0,0.325,0.117
Double Bed (FR),0.704,0.428,0.551,0.401
Gods Solution (GB),2.905,2.174,0.406,0.316
Loup Solitaire (USA),3.32,1.636,0.691,0.581
Indian River (FR),0,0,0.062,0.008
Northern Baby (CAN),1.453,0.833,0.767,0.606
Ore (IRE),0.342,0.31,0.429,0.272
Paris Opera (AUS),0,0,0,0
Lapierre (GB),2.324,1.283,0.502,0.396
Victory Dance I (IRE),0,0,0,0
Northern Crystal (GB),3.874,1.786,0.648,0.525
Honor Grades (USA),4.358,1.365,0.877,0.784
Dahar (USA),1.453,1.205,0.618,0.475
Lavirco (GER),1.291,0.782,0.45,0.346
Puget (USA),0,0,0.171,0.062
Pitchounet (FR),1.937,0.852,0.654,0.493
Westminster (NZ),0,0,0.153,0.034
Jendali (USA),0,0,0.352,0.211
King Among Kings (GB),0.528,0.709,0.486,0.321
Llandaff (USA),1.453,1.814,0.326,0.245
Tirley Gale (GB),0,0,0.348,0.199
Start Fast (FR),0.83,0.5,0.451,0.317
Le Nain Jaune (FR),0.775,0.596,0.257,0.173
Lyphard (USA),0,0,0.55,0.351
Miners Mark (USA),0,0,0.246,0.118
Barrys Gamble (GB),0,0,0.137,0.038
Forestry (USA),0,0,0.248,0.141
Artax (USA),0,0,0.476,0.243
El Gran Senor (USA),1.66,1.281,0.537,0.391
Quws (GB),0,0,0.458,0.309
Cotation (GB),0,0,0,0
Sugarfoot (GB),0,0,0.31,0.167
Woods Of Windsor (USA),0.179,0.21,0.365,0.232
Shantou (USA),11.621,4.5,1,1
Lit De Justice (USA),1.66,1.099,0.589,0.464
Faltaat (USA),2.324,1.317,0.343,0.289
Adnaan (IRE),0,0,0.727,0.529
Sendawar (IRE),0,0,0.504,0.31
Storm Boot (USA),0,0,0.43,0.294
J B Quick (GB),0,0,0.278,0.157
Yaheeb (USA),0,0,0.433,0.264
Protektor (GER),1.162,0.675,0.473,0.301
Marlin (USA),0,0,0.204,0.05
Myfontaine (GB),0,0,0.185,0.17
Tilden (IRE),5.811,9.512,0.667,0.556
Gentlemen (ARG),0,0,0.507,0.334
Half Iced (USA),7.748,5.235,0.842,0.81
King Persian (IRE),0.83,0.849,0.533,0.348
Favoured Nations (IRE),0,0,0.38,0.22
Regal Intention (CAN),0,0,0.441,0.21
Clearly Bust (GB),0.581,0.64,0.466,0.321
Helmsman (USA),0,0,0.386,0.245
Perfect Parade (USA),0,0,0.549,0.351
Top Of The World (GB),0,0,0.343,0.207
Heron Island (IRE),0,0,0.545,0.4
Solon (GER),0.894,1.001,0.533,0.374
Nucleon (USA),0,0,0.315,0.159
Bravefoot (GB),0.291,0.338,0.421,0.255
Fly So Free (USA),0,0,0.414,0.223
Vertical Speed (FR),0.83,0.985,0.403,0.281
Risen Star (USA),1.162,1.106,0.499,0.325
Zaizoom (USA),2.113,1.474,0.768,0.623
Viteric (FR),0,0,0.859,0.742
Meadowbrook (GB),0,0,0.326,0.184
Danzatore (CAN),0,0,0,0
Lithgie-Brig (GB),0,0,0.298,0.15
Pasternak (GB),0,0,0.514,0.309
Chocolat De Meguro (USA),0,0,0.094,0.027
Lagunas (GB),0.726,0.701,0.447,0.319
Supremo (USA),1.66,0.89,0.655,0.49
Running Stag (USA),0,0,0.417,0.181
Hennessy (USA),1.55,1.15,0.515,0.394
Clan Of Roses (GB),0,0,0.438,0.239
Shirley Heights (GB),1.291,1.024,0.494,0.376
Runnett (GB),0,0,0.232,0.093
Acteur Francais (USA),0,0,0.112,0.019
Capote (USA),1.056,0.825,0.388,0.244
Lure (USA),0.996,0.853,0.495,0.351
Marias Mon (USA),2.324,0.997,0.56,0.426
Tachyon Park (GB),0,0,0.243,0.104
Capolago (GB),0.704,1.14,0.394,0.227
Personal Flag (USA),0,0,0.613,0.454
Lights Out (FR),1.025,0.699,0.538,0.379
Flying Legend (USA),1.55,1.54,0.595,0.441
Mohaajir (USA),0.612,0.911,0.322,0.177
Secret Appeal (GB),0,0,0.077,0.006
Arctic Cider (USA),0.302,0.272,0.511,0.348
Captain Maverick (USA),0,0,0.444,0.198
Smart Strike (CAN),1.056,0.655,0.618,0.457
Silver Deputy (CAN),2.905,1.796,0.873,0.778
Twining (USA),1.937,0.998,0.696,0.56
Delta Dancer (GB),0,0,0.393,0.224
Denebola Way (GR),0,0,0.643,0.481
Tiger Ridge (USA),0,0,0.067,0.007
Langfuhr (CAN),3.32,2.156,0.613,0.48
Lemon Drop Kid (USA),1.585,1.326,0.638,0.486
Septieme Ciel (USA),1.291,1.217,0.42,0.275
Russian Red (GB),0,0,0.153,0.024
Beat All (USA),0,0,0.294,0.126
Meadowlake (USA),0,0,0,0
Mystery Storm (USA),2.905,1.599,0.772,0.616
Point Given (USA),0,0,0.422,0.268
Real Quiet (USA),2.905,5.332,0.514,0.382
