trainer,IV,A/E,PRB,PRB2
Mrs Diane Wilson,0,0,0.222,0.099
A W Congdon,0,0,0.429,0.227
Mrs Mandy Hand,0,0,0.182,0.099
J Rudge,0,0,0.395,0.194
J D J Davies,0,0,0.427,0.245
Sam Holdsworth,0,0,0.067,0.018
C J Drewe,0,0,0.074,0.034
J N R Billinge,0.332,0.665,0.28,0.168
Michael Banks,0,0,0.192,0.079
R D Tudor,0,0,0.167,0.028
Thomas Patrick McGovern,1.011,1.196,0.504,0.364
D Eddy,0,0,0.541,0.306
Richard Armson,0,0,0.305,0.16
Tim Reed,0.505,0.671,0.418,0.277
Lee James,0,0,0.341,0.221
Adam Robson,0,0,0.214,0.072
Don Enrico Incisa,2.682,2.154,0.53,0.391
Peter Cundell,0.93,0.75,0.428,0.292
Sally Hall,0.861,1.014,0.538,0.372
Miss B Sanders,1.922,1.352,0.613,0.469
Bruce Hellier,0,0,0.905,0.819
J E Hammond,2.905,1.068,0.71,0.624
M McDonagh,0.208,0.315,0.215,0.103
Jane Chapple-Hyam,0,0,0.593,0.406
R D E Woodhouse,2.324,1.826,0.609,0.486
Mrs A V Roberts,0,0,0.267,0.171
Anna Brooks,2.324,2.432,0.433,0.361
I R Ferguson,0.775,0.546,0.451,0.332
S Parr,0,0,0.338,0.142
Victor Thompson,0,0,0.354,0.188
Raymond Shiels,0,0,0.475,0.314
Jean McGregor,0.396,0.668,0.373,0.216
Liam Lennon,0,0,0.245,0.118
William Young,0,0,0.223,0.106
P Spottiswood,0,0,0.339,0.173
Miss J Fisher,2.905,1.252,0.633,0.548
Mrs Sarah L Dent,2.905,1.078,0.719,0.554
Mrs K B Mactaggart,0,0,0.5,0.25
J F W Muir,0,0,0.4,0.16
Alan Balmer,0,0,0,0
Miss M Bremner,0,0,0.253,0.128
Ian Stark,0,0,0,0
E J Jamieson,0,0,0.328,0.112
M A Molloy,0,0,0.601,0.458
Donal Nolan,0,0,0.179,0.072
Gary Harrison,0,0,0.323,0.187
M J Grassick,0.995,0.741,0.554,0.396
J G Cromwell,0,0,0.432,0.27
T G McCourt,0.507,0.593,0.456,0.297
Tracy Waggott,1.202,1.551,0.51,0.368
Simon Dow,0.745,0.772,0.455,0.304
J J Sheehan,0.363,0.444,0.396,0.231
Lydia Richards,1.427,1.503,0.427,0.287
Prue Townsley,1.701,1.603,0.528,0.37
Edward Creighton,0,0,0.071,0.01
W Figge,0,0,0.474,0.245
W A OGorman,0,0,0.223,0.085
John E Long,0.758,1.481,0.432,0.306
Mrs Katie Baimbridge,0,0,0.871,0.758
Mrs Julie Read,2.324,1.363,0.522,0.461
J E Dillon,0,0,0,0
Mrs S Bowman,0,0,0.083,0.014
J M Turner,0,0,0.25,0.188
Mrs E Collinson,0,0,0.156,0.098
William Stone,0,0,0.188,0.142
B J Clarke,0,0,0,0
Mrs S Richardson,0,0,0.546,0.32
R M Carson,2.324,1.701,0.687,0.527
Diana Grissell,1.453,0.591,0.532,0.417
H E Thorpe,0,0,0.619,0.574
John Panvert,0.775,0.974,0.435,0.289
Miss R S Reynolds,0,0,0.542,0.446
Mrs Anne-Marie Hays,0,0,0.7,0.49
N M Bloom,0,0,0.6,0.36
S R Andrews,0,0,0.328,0.222
H B Hodge,0,0,0,0
Mrs N D Smith,0,0,0,0
Mrs D Haine,0,0,0.115,0.027
John A Quinn,0.922,0.999,0.428,0.305
Paddy Butler,0.314,0.546,0.348,0.21
G Haine,0,0,0,0
Mrs N Smith,0.861,0.974,0.476,0.314
Sarah Wall,0,0,0.175,0.117
Mark Hoad,0.877,1.011,0.407,0.28
Michelle Bryant,0.83,1.296,0.476,0.344
Daniel OBrien,0,0,0.126,0.041
R Dean,0,0,0.365,0.209
Lady Anne Connell,0,0,0.289,0.166
Mrs S J Hickman,0,0,0.468,0.34
T S Ide,0,0,0.429,0.184
Mrs S A Hodge,0,0,0,0
Mrs A Blaker,0,0,0.429,0.367
Peter Hedger,0.872,1.109,0.441,0.301
R M Flower,0.581,0.913,0.263,0.176
Mrs C Dennis,11.621,4.5,1,1
D J Lay,0,0,0.714,0.51
Mrs F Marshall,0,0,0.719,0.539
M S Burman,0,0,0.429,0.184
Heather Cobb,0,0,0.421,0.195
Mrs V K Rickcord,0,0,0.143,0.02
Miss R Williams,0,0,0,0
Miss Z Anthony,0,0,0.667,0.444
J W Dufosee,0,0,0.667,0.463
Mrs D H McCarthy,0,0,0,0
Mrs A Farrant,0,0,0.5,0.25
C J Lawson,0,0,0,0
Miss S Brine,0,0,0.917,0.84
S Garrott,0,0,0.833,0.694
T D B Underwood,0,0,0.667,0.444
David Phelan,0,0,0.583,0.34
Sean Regan,0,0,0.5,0.25
Mrs B Ansell,0,0,0.417,0.174
Nigel Benstead,0,0,0.238,0.066
Ms Lisa Stock,0,0,0.417,0.347
R Abrey,0,0,0,0
Mrs A E Lee,0,0,0.333,0.111
A C Simpson,0,0,0.167,0.028
Ms J S Doyle,0,0,0.285,0.15
Steve Woodman,0,0,0.475,0.293
Les Hall,1.291,1.194,0.552,0.4
Mrs L P Baker,0,0,0,0
Althea Barclay,0,0,0.552,0.458
Frau Erika Mader,0,0,0.727,0.529
G Macaire,5.811,1.756,0.958,0.92
Mrs H Pudd,0,0,0.583,0.461
M D McMillan,0,0,0.281,0.199
Mark Gillard,0,0,0.25,0.125
F R Jackson,0,0,0,0
Peter Guest,0,0,0,0
Alan Blackmore,0,0,0.495,0.34
George Wareham,0,0,0.444,0.238
Martin John Hogan,0.775,0.721,0.521,0.417
Derrick Scott,0,0,0.249,0.087
Tor Sturgis,3.874,1.773,0.616,0.479
John Coombe,0,0,0.271,0.128
P J Prendergast,1.151,0.764,0.577,0.406
T Stack,1.423,0.939,0.544,0.408
P Rau,0,0,0.333,0.111
Ted Powell,1.291,1.312,0.439,0.288
Paul Johnson,0.684,0.717,0.375,0.259
Amaryllis Goschen,2.324,1.121,0.51,0.44
R J Hewitt,0,0,0.365,0.276
Miss N L Elliott,0,0,0,0
Miss M A Neill,0,0,0.526,0.419
J R Adam,0,0,0.146,0.128
J G Burns,0.307,0.329,0.473,0.306
Joseph Bewley,0.775,0.933,0.429,0.294
Ann Price,0,0,0.255,0.149
Miss A E Broyd,0,0,0,0
P R Johnson,0,0,0.555,0.346
Miss Grace Muir,3.874,1.391,0.927,0.862
Mrs Caroline Walker,0,0,0.517,0.401
Rob Summers,0,0,0.289,0.25
C J Leech,0,0,0.1,0.06
G L Edwards,0,0,0.533,0.284
Patrick J Hanly,0,0,0.2,0.08
A P Morgan,0,0,0.333,0.111
Mrs E Newman,0,0,0,0
M Rodda,0,0,0,0
James Richardson,0,0,0.842,0.717
G C Evans,0,0,0.183,0.134
R Bryan,0,0,0.667,0.444
Mrs E England,0,0,0.3,0.18
E W Morris,0,0,0,0
N J Dawe,0,0,0.091,0.025
Mrs C J Robinson,2.905,1.145,0.25,0.25
Miss T Pitman,0,0,0,0
Robert Staley,0,0,0,0
Ms Sue Smith,0,0,0.388,0.224
Eugene M OSullivan,0,0,0.405,0.251
John Price,1.453,2.328,0.421,0.282
Louise Davis,0,0,0.269,0.117
N W Alexander,0.628,0.736,0.407,0.266
Stephen Marshall,1.245,1.175,0.512,0.397
S B Bell,1.66,1.77,0.394,0.303
K S Thomas,0,0,0.415,0.258
Rhona Brewis,0,0,0.275,0.153
Robert Wood,1.66,1.995,0.38,0.229
N P McCormack,3.874,4.539,0.333,0.333
Jonathan Haynes,0,0,0.305,0.155
S G Chadwick,0,0,0.359,0.154
Dave Parker,3.874,1.819,0.896,0.813
M E Broad,0,0,0.857,0.735
Simon Waugh,0,0,0.5,0.376
Alistair M Brown,0,0,0.714,0.51
P Cornforth,5.811,2.917,0.821,0.707
Mrs J Jones,0,0,0,0
Mrs J Warwick,0,0,0,0
Miss C Pennycook,0,0,0,0
Ms J M Findlay,0,0,0,0
Mrs Lynne Ward,0,0,0.389,0.302
Milson Robinson,0,0,0.569,0.487
R A Ross,0,0,0.29,0.211
Miss G Swan,0,0,0.585,0.344
Mrs P Claxton,5.811,3.871,0.75,0.625
Ms S Duell,0,0,0.292,0.13
Mark Hughes,0,0,0.062,0.008
Miss M Mullineaux,0,0,0,0
I McMath,0.43,0.77,0.253,0.169
J K Magee,0,0,0.271,0.119
Mrs J K M Oliver,0,0,0.136,0.055
R M Clark,0,0,0,0
A R Trotter,0,0,0.4,0.17
Edward Stanners,0,0,0,0
J Burke,0,0,0.167,0.083
C A McBratney,0.528,0.72,0.327,0.207
J L Gledson,0,0,0,0
R T J Wilson,1.056,1.12,0.485,0.317
F Jestin,0,0,0.278,0.155
James Ewart,1.937,2.136,0.52,0.406
Mrs Jelly OBrien,0,0,0.465,0.356
P A Jones,0,0,0.583,0.34
A J Mason,0,0,0.417,0.174
Derek Frankland,0,0,0.167,0.056
Ms Rachel King,0,0,0,0
Mrs Sarah Faulks,0,0,0,0
Mrs M Stirk,0,0,0.588,0.421
M A Humphreys,0,0,0,0
Tim Tarratt,0,0,0,0
S H Marriage,0,0,0,0
Ms Jane Evans,0,0,0,0
Mrs C M Gorman,0,0,0.719,0.517
P England,0,0,0.286,0.163
R T Baimbridge,11.621,3.25,1,1
Mrs E J Reed,0,0,0.889,0.79
Ms Jill Carenza,0,0,0.444,0.198
E J Cantillon,0,0,0,0
C Brader,0,0,0,0
Mrs T R Kinsey,0,0,0.462,0.213
Miss H Brookshaw,0,0,0.238,0.17
Martin Ward,0,0,0,0
Donald McCain,2.905,0.779,0.781,0.635
Mrs Joan Tice,0,0,0.526,0.378
Cooper Wilson,0,0,0.422,0.221
G R Pewter,0,0,0.167,0.111
David P Myerscough,0,0,0.551,0.362
Christine Kerr,0,0,0.142,0.049
Alan Mactaggart,11.621,6,1,1
J M B Cookson,0,0,0.4,0.16
J Barclay,0,0,0.311,0.172
Mrs S H Shirley-Beavan,0,0,0,0
George Bewley,3.874,2.182,0.742,0.593
Mrs H D Marks,0,0,0.2,0.08
J M Dun,2.324,1.891,0.604,0.458
Grant Tuer,0,0,0,0
Allie Tullie,0,0,0.155,0.04
Mrs N C Neill,0,0,0.875,0.766
I Buchanan,0,0,0.445,0.285
R W Thomson,0,0,0.128,0.04
I A Gault,0,0,0,0
William Goldie,0,0,0,0
Joseph Quinn,0,0,0.372,0.212
R H Macnabb,0.83,0.659,0.496,0.368
David Pearson,0.775,1.765,0.134,0.09
Miss J Wormall,2.324,2.987,0.533,0.479
D S Dennis,0,0,0.167,0.056
P F Popham,0,0,0.273,0.223
George Hosier,0,0,0.556,0.468
M J Hill,0,0,0,0
A J Tizzard,2.324,2.237,0.473,0.4
Fiona Kehoe,3.874,1.72,0.823,0.694
Miss Sarah George,0,0,0.286,0.163
Mrs S Robinson,0,0,0,0
Miss Gina Weare,0,0,0,0
Mrs Julie Marles,5.811,6.346,0.95,0.905
Mrs C A Coward,0,0,0.352,0.273
Gary Hanmer,0,0,0.284,0.216
Mrs Theresa Morris,0,0,0,0
D T Turner,0,0,0.29,0.088
E Danel,11.621,4.33,1,1
Jane Southall,0,0,0.215,0.107
Andreas Lowe,3.874,2.421,0.764,0.612
J T R Dreaper,1.453,1.092,0.577,0.433
P H Morris,0,0,0.465,0.289
J L Hassett,0,0,0.372,0.235
D M Christie,0.306,0.369,0.425,0.272
I J Keeling,0,0,0.494,0.289
J H Scott,0.861,0.841,0.351,0.196
Gerard Keane,0.531,0.608,0.45,0.29
James Joseph Mangan,0.75,0.666,0.421,0.271
R P Burns,0.894,0.733,0.548,0.388
Adrian McGuinness,0.601,0.589,0.472,0.332
Anthony Mullins,1.54,0.884,0.602,0.451
F J Bowles,0.112,0.18,0.313,0.167
Teresa Spearing,0,0,0.571,0.327
P J Millington,0,0,0,0
Ms Joanna Morgan,0.634,0.619,0.457,0.302
Edward P Mitchell,0.258,0.505,0.356,0.2
T K Geraghty,1.453,1.096,0.606,0.487
C J Hemsley,0,0,0,0
Lady Susan Brooke,0,0,0.219,0.091
Miss J Hughes,0,0,0.278,0.154
Patrick Thompson,5.811,5.234,0.938,0.883
P H Hogarth,0,0,0,0
F L Matthews,0,0,0,0
Mrs B Brown,0,0,0,0
Mrs C M James,0,0,0,0
Mrs J Jeynes,0,0,0,0
Richard Mathias,0,0,0,0
E R Clough,5.811,2.671,0.833,0.722
I Anderson,0,0,0.643,0.413
M D Jones,0,0,0.25,0.125
Miss J Houldey,0,0,0,0
Miss S Jackson,0,0,0,0
Mrs J Hughes,0,0,0.444,0.395
Norma Twomey,0,0,0.762,0.59
R Green,0,0,0,0
Penny Buckley,0,0,0.442,0.263
Mrs J L Haley,0,0,0,0
Karen Tutty,0,0,0,0
Jane Makin,0,0,0.544,0.304
Nigel Dunger,0,0,0.588,0.362
F Rohaut,0,0,0.7,0.49
Mrs D Buckett,0,0,0.333,0.111
Steven Dixon,0,0,0.66,0.482
R P OKeeffe,0,0,0.316,0.163
J E Pease,0,0,0.809,0.655
Edward U Hales,1.263,0.957,0.585,0.425
Peter M Kiely,0,0,0.724,0.574
Mrs Aileen Ann OConnor,1.937,1.254,0.394,0.28
Bernard Jones,1.66,1.174,0.331,0.24
J-C Rouget,0,0,0.357,0.128
C Laffon-Parias,0,0,0.286,0.082
Frau Marion Rotering,0,0,0.333,0.111
Richard King,0,0,0,0
Mrs R A Vickery,0,0,0.364,0.264
I Hambley,0,0,0,0
Mrs R Kennen,0,0,0,0
Dr C E Fry,0,0,0,0
Miss L Gardner,0,0,0,0
D C Turner,0,0,0.319,0.145
Paul John Gilligan,0,0,0.265,0.136
Peter Purdy,0,0,0.287,0.155
Andre Hermans,0,0,0.319,0.129
Patrick Morris,0.646,0.642,0.484,0.323
D Mullarkey,0,0,0.103,0.026
Francisco Castro,0,0,0.333,0.111
F Chappet,0,0,0.231,0.053
L Camici,0,0,0.077,0.006
A Peraino,0,0,0.364,0.132
M P Muggeridge,0,0,0.089,0.015
Niall Moran,0.387,0.335,0.402,0.253
Michael Cunningham,0.456,0.452,0.453,0.3
Cathrine Erichsen,0,0,0.171,0.033
Samuel Murphy,0,0,0.403,0.22
Tim Pitt,5.811,4.702,0.769,0.645
D A Kelly,0.684,0.953,0.434,0.248
B A McMahon,0,0,0.399,0.244
Denis Quinn,0,0,0.263,0.146
Edgar Byrne,0.142,0.171,0.443,0.267
Liam Roche,1.162,1.426,0.595,0.41
Mervyn Torrens,0.375,0.687,0.31,0.181
Seamus G ODonnell,0.495,0.609,0.318,0.197
Bill Ratcliffe,0,0,0.58,0.4
Tom Dascombe,0,0,0.744,0.583
P C Handley,0,0,0.143,0.02
Miss Chloe Roddick,7.748,2.516,0.667,0.667
Mrs Sue Popham,0,0,0.556,0.468
Brian Perry,0,0,0.5,0.25
K R Owen,0,0,0,0
Mrs V Park,0,0,0.214,0.092
A N Dalton,0,0,0,0
F Lloyd,0,0,0.8,0.656
Mayne Kidd,0,0,0.391,0.204
Michael McElhone,0.775,0.834,0.542,0.383
B R Woodhouse,0,0,0.857,0.735
G F White,0,0,0,0
Miss J M Furness,0,0,0,0
Hugh Paul Finegan,1.291,2.808,0.354,0.278
Noel C Kelly,0,0,0.091,0.017
C J Cosgrave,0,0,0.464,0.312
Stephen McConville,0,0,0.131,0.052
J G Cosgrave,0,0,0.304,0.179
Lindsay Woods,0,0,0.346,0.216
Michael Roberts,0,0,0,0
Arthur Whitehead,0,0,0,0
Kjell Ivar Brekstad,0,0,0.125,0.016
Ray Peacock,0,0,0.458,0.253
H Steinmetz,0,0,0.636,0.405
C P Donoghue,0.604,0.634,0.455,0.315
R McGlinchey,0,0,0.317,0.163
Declan Gillespie,1.162,0.852,0.534,0.381
Pat Eddery,0,0,0.909,0.826
Michael G Holden,0,0,0.446,0.283
A Kinsella,0,0,0.076,0.015
M Flannery,0.381,0.459,0.46,0.302
Francis Ennis,0.5,0.505,0.468,0.315
Miss V Flood,0,0,0.062,0.008
Mrs R E Walker,0,0,0,0
Andy Hobbs,0,0,0.385,0.148
Mrs H J Houghton,0,0,0.231,0.053
T Doumen,0,0,0.408,0.259
Kevin Tork,0,0,0.429,0.184
Major General C A Ramsay,0,0,0.429,0.367
Vincenzo Caruso,0,0,0.667,0.444
Mrs Alison Christmas,0,0,0,0
Mrs Sue Bell,0,0,0,0
W Lapsley,0,0,0.107,0.029
Mrs J Williamson,3.874,3.231,0.731,0.571
Clive Mulhall,0,0,0.545,0.298
D W Macauley,0,0,0.105,0.022
Evelyn England,0,0,0.4,0.285
Paul Hamer,0,0,0.778,0.605
Mrs Elizabeth Howe,0,0,0.231,0.107
P Grindrod,0,0,0.364,0.264
Miss Sarah-Jayne Davies,0,0,0,0
A Coveney,0,0,0,0
Mrs C Wilesmith,3.874,2.502,0.846,0.732
R N Miller,0,0,0.375,0.141
Stewart Pike,5.811,11.333,0.955,0.913
Mrs Frances Bishop,0,0,0.556,0.309
Ms Alexandra Moller,0,0,0.222,0.099
B G Parsons,0,0,0,0
Rodger Sweeney,0.484,0.582,0.492,0.312
Rune Haugen,0,0,0.808,0.657
Miss M Bayliss,0,0,0.546,0.32
Lisa Harrison,0,0,0.2,0.04
Miss Louise Todd,0,0,0,0
Miss H M Irving,0,0,0,0
Miss B Lewis,0,0,0,0
P Budds,0,0,0.524,0.316
Mrs S A Bramall,2.583,2.794,0.719,0.621
Robert Bowling,0,0,0.389,0.154
Mrs Jane Knight,0,0,0,0
Pippa Bickerton,0,0,0.385,0.148
E M Caine,0,0,0,0
O R Dukes,0,0,0,0
David Ibbotson,0,0,0,0
Mrs Freya Brewer,0,0,0.333,0.111
A J Walker,0,0,0,0
Miss J Froggatt,0,0,0.667,0.444
Thomas ONeill,0.211,0.341,0.403,0.229
Mrs J L Wight,0,0,0,0
Miss Sarah West,0,0,0.5,0.25
Mrs Rose Partridge,0,0,0.375,0.141
A D Peachey,0,0,0.875,0.766
Patrick J F Hassett,0.93,0.729,0.415,0.28
John A Codd,0.215,0.227,0.416,0.289
G M Lyons,1.319,0.862,0.567,0.423
P F ODonnell,0.439,0.713,0.412,0.24
L Young,0.088,0.108,0.422,0.259
Gerard Cully,0.441,0.434,0.418,0.272
Ms Caroline Hutchinson,0.387,0.363,0.588,0.431
Michael P Hourigan,0,0,0.27,0.122
B J Hallahan,0,0,0.632,0.488
Patrick Martin,1.215,1.075,0.489,0.342
Mrs S Lynch,0,0,0.544,0.361
Brian Nolan,0.43,0.379,0.444,0.322
Jarlath P Fahey,0.517,0.612,0.498,0.346
Ms Margaret Mullins,1.09,0.618,0.609,0.459
Denis Paul Murphy,0.604,0.698,0.463,0.294
P Delaney,0.264,0.35,0.388,0.255
A Seymour,0.712,0.901,0.53,0.372
Patrick Carey,0.26,0.277,0.462,0.308
Anthony John Black,0.332,0.391,0.46,0.305
Sean O OBrien,0.439,0.458,0.598,0.424
Patrick J Halley,0,0,0.264,0.15
Donal Coffey,0,0,0.488,0.311
Miss Lillian E A Doyle,3.874,2.066,0.595,0.472
P C OConnor,1.223,0.842,0.544,0.408
Miss Bernadette A K Murphy,0,0,0.4,0.238
Robert Murphy,0.83,1.138,0.472,0.36
S J Treacy,0.562,0.538,0.45,0.291
Patrick Sinnott,1.291,0.998,0.454,0.319
Patrick Day,0,0,0.479,0.316
John Brassil,1.328,0.91,0.515,0.372
Timothy Doyle,0.457,0.484,0.515,0.35
Thomas Carberry,0.134,0.134,0.496,0.343
T J Kidd,0.223,0.315,0.384,0.235
Thomas P OConnor,0,0,0.407,0.278
Denis Ahern,0.75,0.675,0.504,0.372
Leonard Whitmore,0,0,0.199,0.099
T A Regan,0,0,0.407,0.259
T J Nagle Jr,0.717,0.755,0.54,0.371
Michael Joseph Kelly,0,0,0.255,0.125
Raymond Hurley,0.894,0.735,0.48,0.331
Daniel Miley,0,0,0.492,0.31
Mrs Mary Twohig,0,0,0.241,0.118
J A OConnell,0.223,0.216,0.377,0.244
N Nevin,0,0,0.437,0.219
Mrs D A Love,0,0,0.52,0.355
Patrick J Flynn,0.432,0.426,0.491,0.337
Garrett James Power,0,0,0.418,0.218
Alan Lucey,0,0,0.36,0.221
David M OBrien,0,0,0.42,0.243
John J Foley,0,0,0.315,0.139
N Nelson,0.553,0.752,0.387,0.248
W J Austin,0.872,0.933,0.563,0.406
Miss Elizabeth Doyle,0.478,0.527,0.478,0.337
John C Shearman,0.505,0.66,0.352,0.209
Malachy J Ryan,0,0,0.406,0.227
Miss Jane Thomas,0,0,0.381,0.217
Mrs Prunella Dobbs,0,0,0.377,0.233
John E Kiely,2.071,1.092,0.676,0.543
J F OShea,0.667,0.955,0.416,0.271
Niall Madden,1.217,0.838,0.517,0.368
Ms A M Kent,0,0,0.5,0.357
R J Osborne,0.738,0.793,0.463,0.307
