trainer,IV,A/E,PRB,PRB2
Paul Cashman,0.596,0.619,0.509,0.34
H Rogers,0.627,0.611,0.454,0.301
Mrs A M OShea,0,0,0.169,0.059
Colm A Cronin,0,0,0.447,0.272
Seamus Lynch,1.033,1.294,0.509,0.347
Michael J OConnor,0.484,0.717,0.286,0.166
Miss A M Lambert,0,0,0.321,0.188
James Cousins,0,0,0.581,0.397
Ms M M Gannon,0,0,0.31,0.136
Philip Fenton,1.022,0.674,0.542,0.395
Patrick A Kinsella,0.465,0.606,0.467,0.306
Michael F Croke,0,0,0.287,0.108
F P Cunningham,0,0,0.342,0.165
S Slevin,0,0,0.471,0.306
Daniel OConnell,0.545,0.643,0.467,0.319
Gerard J OKeeffe,0,0,0.298,0.097
Michael J McDonagh,0,0,0.36,0.211
David Marnane,0.867,0.677,0.523,0.356
Seamus Fahey,0.652,0.785,0.487,0.324
George Stanley,0,0,0.353,0.186
Peter Casey,0.775,0.723,0.483,0.319
T J OMara,0.694,0.712,0.502,0.341
D M Leigh,0.247,0.332,0.432,0.276
Stephen Ryan,0.634,0.673,0.601,0.437
P R Lenihan,0,0,0.49,0.343
A J McNamara,0.592,0.632,0.501,0.346
J R Phelan,0,0,0.483,0.323
Luke Prendergast,0,0,0.338,0.192
Michael Butler,0,0,0.417,0.255
J R Finn,0,0,0.363,0.242
Michael Cullen,0.581,0.547,0.615,0.468
Patrick Rooney,0,0,0.157,0.038
P T Flavin,0,0,0.308,0.191
Patrick Michael Verling,0.712,0.723,0.53,0.376
R P Rath,0.43,0.722,0.302,0.167
Martin J OKeeffe,0,0,0.309,0.14
Noel V Kennedy,0,0,0.597,0.426
Michael Condon,0,0,0.434,0.257
James Leavy,0.513,0.615,0.493,0.33
Ronald OLeary,0.581,0.774,0.409,0.244
Robert Tyner,0.968,0.855,0.487,0.359
William Hayes,0,0,0.292,0.133
Andrew Slattery,0.684,0.731,0.521,0.359
Jeffrey Ian Mulhern,0,0,0.128,0.036
Denis Barry,0,0,0.134,0.027
James J Kelly,0.415,0.629,0.31,0.168
T Donohue,0,0,0.21,0.062
M V Manning,0,0,0.228,0.089
T F Lacy,0.387,0.472,0.309,0.169
Martin Brassil,1.271,1.139,0.501,0.327
Bernard Lawlor,2.051,1.558,0.6,0.488
P Meany,0,0,0.464,0.274
W M Roper,0.415,0.617,0.377,0.242
V Bowens,0,0,0.44,0.277
W Power,0,0,0.455,0.261
Liam P Cusack,0,0,0.516,0.349
W F Codd,0.775,0.788,0.479,0.322
C Hennessy,0.792,0.905,0.435,0.303
Stanley Ryan,0.75,0.765,0.593,0.435
T Cahill,0,0,0.417,0.255
P J McGarry,0,0,0.263,0.208
F J Lacy,0.505,0.525,0.557,0.38
Michael C Connell,0,0,0.288,0.122
Joseph H Ryan,0,0,0.505,0.28
Thomas Travers,0,0,0.314,0.125
John A White,0,0,0.4,0.246
Martin Hurley,0,0,0.4,0.224
Miss Mary Louise Hallahan,0.352,0.594,0.401,0.251
D J Barry,0,0,0.434,0.255
P M Lynch,0.612,1.395,0.268,0.146
Gerard OLeary,0.949,0.812,0.483,0.33
John C McConnell,1.011,1.386,0.572,0.409
Enda Kelly,0.646,0.68,0.435,0.293
Marcus Callaghan,0.968,0.822,0.534,0.394
David A Kiely,1.423,0.892,0.594,0.443
James A Browne,0,0,0.513,0.322
W T Farrell,0,0,0.47,0.31
Mrs Valerie Keatley,0.375,0.669,0.316,0.178
Martin Higgins,0,0,0.33,0.189
M J Colfer,0,0,0.449,0.209
Suzanne Cox,0.845,0.992,0.387,0.271
Miss M Harding,0.375,0.513,0.467,0.284
Eric Larkin,0,0,0.548,0.38
Michael Flynn,1.937,1.687,0.553,0.421
Daniel William OSullivan,0.298,0.343,0.502,0.326
Mrs Marian Flavin,0.75,0.625,0.566,0.411
P ORourke,0,0,0.41,0.269
Michael Aherne,0,0,0.628,0.471
Miss Martina Anne Doran,0,0,0.313,0.156
Ms Frances Slevin,0,0,0.424,0.186
P G Fahey,0,0,0.342,0.207
John OCallaghan,0,0,0.067,0.004
Patrick Cody,0,0,0.296,0.185
D L Bolger,0,0,0.428,0.194
R K Watson,0,0,0.422,0.247
Paul Stafford,0.968,0.741,0.494,0.342
Thomas G Walsh,0,0,0.416,0.218
N Dooly,0,0,0.408,0.229
M Woods,0,0,0.384,0.219
Patrick Joseph Hayes,0.528,0.976,0.341,0.199
Miss R K Surman,0,0,0.242,0.087
V T OBrien,0.237,0.321,0.355,0.207
M P Cash,0,0,0.362,0.174
Dermot Day,0,0,0.387,0.238
D M Fogarty,0.505,0.545,0.557,0.391
F Tierney,1.162,1.825,0.357,0.218
Martin M Treacy,0,0,0.117,0.024
Kieran Purcell,1.937,1.521,0.594,0.48
J Morrison,1.743,1.216,0.589,0.446
Ms M Flynn,0.704,1.051,0.403,0.279
K F OBrien,0.219,0.257,0.464,0.307
Richard Brabazon,1.056,1.568,0.528,0.386
Miss S Collins,0,0,0.333,0.175
Edward P Harty,0.25,0.261,0.471,0.315
Augustine Leahy,0.405,0.46,0.454,0.295
Patrick Allen,0,0,0.441,0.248
D E Prendergast,0,0,0.133,0.018
W J Lanigan,0.775,1.07,0.476,0.293
Mrs Dorothy Kinirons,0,0,0.362,0.193
Donal Hassett,0.596,0.522,0.45,0.295
P J Lally,0.684,1.178,0.333,0.213
Mark Anthony Stafford,0,0,0.083,0.021
Ms Helen P Markham,0,0,0.407,0.226
D P Berry,0,0,0.233,0.064
Mrs Louise Parkhill,0,0,0.263,0.092
M P Sunderland,1.252,1.026,0.528,0.378
J A Flynn,1.66,1.001,0.65,0.476
Miss G Lee,0,0,0.371,0.21
Garvan Donnelly,0,0,0.428,0.256
D J Ryan,0.581,0.686,0.419,0.287
Martin Kinane,0,0,0.401,0.24
W Harney,0,0,0.528,0.379
Miss A M Winters,0,0,0.169,0.067
R A Cotter,0,0,0.705,0.531
Gerard Kelleher,0,0,0.441,0.287
James Halpin,0.894,1.072,0.555,0.45
Mrs Denise Foster,0.447,0.47,0.46,0.321
L J Archdeacon,1.453,1.468,0.517,0.39
Mrs Mary Buttimer,0,0,0.392,0.173
J P Dempsey,0,0,0.318,0.171
Bernard E Fox,0,0,0,0
Paul Magnier,0.581,0.861,0.285,0.17
Thomas Cleary,0.415,0.674,0.251,0.135
J C Hayden,0.258,0.369,0.414,0.28
Desmond McDonogh,0.318,0.429,0.436,0.273
J Motherway,1.056,1.087,0.503,0.369
Michael McCullagh,1.223,1.083,0.724,0.592
Trevor Horgan,0,0,0.424,0.288
S A Kirk,0,0,0.557,0.375
William Durkan,0,0,0.374,0.214
Richard Francis OGorman,0.726,0.763,0.448,0.295
Andrew Heffernan,0.726,1.033,0.58,0.433
Martin OToole,0.872,1.146,0.409,0.261
A Oliver,0.471,0.492,0.463,0.321
Charles OBrien,0.75,0.517,0.542,0.385
P Cluskey,0,0,0.284,0.147
Cecil Ross,0.83,0.87,0.556,0.411
Mrs Y Dunleavy,0.505,0.846,0.341,0.198
Gerard Stack,0.628,0.71,0.427,0.283
Edward Cawley,0.93,1.141,0.49,0.343
John Monroe,0.401,0.438,0.435,0.27
G M ONeill,0.465,0.372,0.586,0.42
Richard Kehoe,0,0,0.296,0.124
Owen Weldon,0,0,0.302,0.137
D P Kelly,0,0,0.386,0.245
J P Fogarty,0,0,0.42,0.243
A D Evans,0,0,0.26,0.097
Timothy OCallaghan,0.894,1.072,0.546,0.385
Emmanuel Hughes,0,0,0.358,0.195
L T Reilly,0,0,0.33,0.188
John J Nallen,0,0,0.218,0.082
Mrs Susanne Docker,0,0,0.234,0.081
John J Walsh,0.43,0.653,0.441,0.276
C Collins,1.419,1.129,0.5,0.346
Mrs A Naughton,0,0,0.186,0.058
J F Grogan,0,0,0.601,0.409
Adrian Maguire,1.709,1.22,0.519,0.396
Edward Lynam,0.672,0.525,0.553,0.385
G A Kingston,0,0,0.453,0.273
Patrick Lacey,0,0,0.363,0.155
Gerard Kyne,0,0,0.237,0.093
M J Phillips,0.447,0.408,0.553,0.404
David Martin Kelly,0,0,0.449,0.277
P Corcoran,0,0,0.3,0.174
John Patrick Ryan,0,0,0.277,0.122
Derek Kane,0,0,0.22,0.095
Patrick G Kelly,0.465,0.62,0.383,0.226
Martin Kenirons,0,0,0.436,0.246
M A Joyce,0.484,1.395,0.361,0.195
Martin Paul Fitzgerald,0,0,0.182,0.056
John M Burke,0,0,0.504,0.322
P J Hassett,0,0,0.105,0.02
G Kennedy,0,0,0.218,0.069
Mrs Hannah Lee,0,0,0.25,0.142
I Madden,0.23,0.305,0.362,0.217
Patrick Towey,0,0,0.277,0.13
Paul Duggan,0.775,0.742,0.601,0.402
John Long,0,0,0.314,0.274
James G Sheehan,0,0,0.581,0.396
Ivor Kingston,0,0,0.168,0.055
P F McEnery,0,0,0.396,0.197
Michael Harty,0,0,0.434,0.293
Shane Joseph Kelly,1.937,3.155,0.629,0.433
S McParlan,1.291,1.907,0.247,0.163
Norman Cassidy,0,0,0.34,0.162
Padraig OConnor,0,0,0.337,0.167
Patrick Boyle,0,0,0.308,0.162
Michael Kiernan,0,0,0.21,0.083
M O Quigley,0,0,0.262,0.138
W J Martin,0,0,0.325,0.175
Michael Kavanagh,0,0,0.386,0.232
James Murphy,0,0,0.436,0.261
John Paul Brennan,2.179,2.498,0.542,0.417
Miss Clare Judith MacMahon,0.83,0.853,0.406,0.276
Joseph M Daly,0,0,0.208,0.063
Peter Henley,0.484,0.56,0.518,0.331
B P Galvin,0,0,0.19,0.066
Roy Clarke,0,0,0.353,0.199
J E Mulhern,0.484,0.519,0.414,0.24
Oliver Finnegan,1.55,1.694,0.474,0.319
Miss J McDowell,0,0,0.23,0.112
T E Hyde,0,0,0.51,0.35
S G Walsh,0,0,0.302,0.128
Lord Tyrone,0,0,0.465,0.28
Mrs Olivia Byrne,0,0,0.449,0.319
Allen Eastwood,0,0,0.301,0.144
John J Costello,0,0,0.647,0.419
James Bowe,2.988,1.096,0.657,0.534
Thomas Walker,0,0,0.417,0.255
Michael David Murphy,0.968,0.947,0.432,0.286
M J Tynan,0,0,0.392,0.238
Mrs Mary C OConnor,0,0,0.242,0.074
Michael Finbarr Cotter,0,0,0.266,0.129
Miss Julie Weston,0,0,0.645,0.51
P Mullins,0,0,0.664,0.505
J A Berry,0.253,0.314,0.445,0.274
R H Lalor,0,0,0.48,0.343
Timothy Cleary,0,0,0.301,0.136
Joseph Hennessy,0,0,0.425,0.229
W T Bourke,0,0,0.374,0.191
M W Hickey,3.874,1.56,0.829,0.704
Ms Aine Ni Chonaill,0,0,0.41,0.235
Noel Brett,0,0,0.518,0.307
J F Sleator,0,0,0.122,0.023
Michael J Quaid,0,0,0.17,0.069
John Clarke,0,0,0.697,0.559
Michael C Griffin,0.684,0.782,0.479,0.349
S Braddish,2.324,1.971,0.574,0.427
Denis Fitzgerald,0,0,0.197,0.04
W J Perry,0,0,0.345,0.184
F Kavanagh,0,0,0.342,0.144
James Keegan,0,0,0.22,0.117
Mrs M Hutchinson,0,0,0,0
D Deacon,0.43,0.621,0.55,0.368
John Geoghegan,0.528,0.637,0.407,0.259
G C Foley,0,0,0.467,0.25
John F ONeill,0,0,0.34,0.228
Moses McCabe,0.775,1.032,0.484,0.344
Patrick Mooney,1.056,1.581,0.371,0.25
Fergal ODonnell,2.905,5.049,0.317,0.262
J C OLeary,0,0,0.504,0.281
Michael J Hogan,0,0,0.353,0.125
D Maguire,0,0,0.194,0.097
W P Browne,0,0,0.201,0.067
J G Coogan,0,0,0.282,0.115
David Edward Finn,0,0,0.324,0.138
John Kirwan,0,0,0.337,0.276
R M Moore,0.775,1.348,0.344,0.177
Miss Suzy Barkley,1.743,2.46,0.443,0.311
J R H Fowler,0.522,0.615,0.461,0.317
P P Goulding,1.291,0.915,0.654,0.488
Mrs Jeanette Riordan,0,0,0.305,0.144
Jeremiah John ONeill,0,0,0.418,0.24
Ian James Hannon,0,0,0.545,0.335
Edward Barrett,0,0,0.2,0.046
Mrs Annette McMahon-Reidy,1.66,2,0.457,0.325
Anthony Moloney,0,0,0.222,0.1
Ronald ONeill,0,0,0.409,0.234
William Smyth,0,0,0.277,0.113
Donal Commins,0,0,0,0
Seamus Spillane,0,0,0.196,0.055
James Burke,0,0,0.389,0.203
Denis Gerard McCarthy,0,0,0.17,0.056
Charles Coakley,0.628,0.897,0.488,0.334
T Simmons,0,0,0,0
A K Wyse,0,0,0.78,0.629
Joseph G Murphy,0.291,0.241,0.534,0.364
Lorna Casey,0,0,0.112,0.029
A Walker,0,0,0.194,0.107
G Ducey,0,0,0.079,0.025
John F Gleeson,1.603,1.523,0.553,0.431
L Byrne,0,0,0.565,0.341
W F Treacy,0,0,0.504,0.328
F Oakes,0,0,0.532,0.346
Paul Martin Pierce,0,0,0.288,0.129
N F Glynn,0,0,0.1,0.03
Martin Browne,1.453,0.998,0.493,0.392
F Dunne,0,0,0.346,0.12
John Rafferty,0,0,0.255,0.081
Lester Winters,0,0,0.45,0.309
P M Rogers,1.291,2.31,0.52,0.379
V Kennedy,0.612,0.86,0.312,0.189
Niall J Donohoe,0,0,0,0
Patrick Tallis,3.32,4.051,0.547,0.434
Kieran P Cotter,0,0,0.422,0.217
J C Harley,0,0,0.144,0.04
A Schutz,0,0,0.778,0.605
Reginald Roberts,0,0,0.273,0.113
Mrs Seamus Hayes,1.937,1.656,0.566,0.451
M J Byrne,0,0,0.305,0.15
Kevin F ODonnell,0,0,0.729,0.572
Noel Furlong,0,0,0.649,0.434
E J Kennedy,0,0,0.058,0.004
M A Gunn,0,0,0.285,0.166
J F C Maxwell,3.169,2.686,0.527,0.409
George Stewart,0,0,0.525,0.334
J McCaghy,0,0,0.325,0.105
Graham T Morrow,0,0,0.136,0.019
Gerard Farrell,0,0,0.479,0.257
Robin McNeilly,0,0,0.143,0.02
L W Doran,0,0,0.171,0.1
Sean Thornton,0,0,0.386,0.164
Patrick J F Gillespie,0,0,0.143,0.031
B W Malone,0,0,0.352,0.209
James Francis Brennan,0,0,0.119,0.043
Neill McCluskey,0,0,0.138,0.063
Michael Fitzsimons,0,0,0.418,0.281
Mrs C OLeary,0,0,0.182,0.045
C T Deacon,0,0,0.717,0.541
Gavin Cromwell,0,0,0.376,0.169
Ciaran OBrien,0,0,0.396,0.249
William Patton,0,0,0.502,0.349
Mrs John B Ross,0,0,0.483,0.336
I McCaghy,0,0,0.564,0.371
Damien Lavery,0,0,0.183,0.067
Patrick J Mackin,0,0,0,0
P F McKinley,0,0,0.297,0.23
H Smyth,0,0,0.281,0.143
W Newman,0,0,0.29,0.146
Donal Kinsella,0,0,0.459,0.306
T J Canavan,0,0,0.2,0.065
B R Hamilton,1.453,1.159,0.682,0.503
Mrs Hugh Baird,0,0,0.458,0.259
Sean Byrne,0,0,0.405,0.208
Alan Daly,0,0,0.121,0.031
Mrs Marian Murphy,0,0,0.499,0.383
Dermot Murphy,0,0,0.158,0.043
Sabrina J Harty,0,0,0.222,0.062
D Harvey,0,0,0.535,0.344
Miss Jane Bradbury,0,0,0.75,0.562
Valentine Donoghue,0,0,0.388,0.216
Victor Wilson,0,0,0.553,0.415
A D Nolan,0,0,0.241,0.11
C P Coyle,0,0,0.188,0.035
T J Hanafin,0,0,0.528,0.279
M Phelan,0,0,0.538,0.29
John Neilan,0,0,0.355,0.235
H Fitzpatrick,0,0,0.253,0.081
P Beirne,0,0,0.502,0.255
Ms M T Condon,0,0,0.287,0.106
Michael F Kearney,0,0,0.249,0.094
Liam ODonoghue,0,0,0.515,0.36
J P OKeeffe,0,0,0.659,0.441
Mrs Pauline Gavin,1.453,1.961,0.324,0.215
Aengus King,1.937,3.108,0.571,0.447
C P Magnier,0,0,0.402,0.191
Ms M Dowdall Blake,0,0,0.155,0.062
Miss J Lightholder,0,0,0.211,0.103
F G Hand,0,0,0.75,0.579
E D Delany,0,0,0.267,0.087
David J McGrath,0,0,0.693,0.542
Seamus Neville,0,0,0.171,0.054
C Wilkinson,0,0,0.088,0.016
J A Casserly,0,0,0.681,0.464
Mrs N OHagan,0,0,0.095,0.009
Joseph M Canty,0,0,0.327,0.154
Matthieu Palussiere,0,0,0.199,0.053
Mrs Everina Kilfeather,0,0,0.029,0.002
P M Mooney,0,0,0.043,0.003
J P Broderick,0,0,0.288,0.163
Irene J Monaghan,0,0,0.142,0.031
M G Quinn,0,0,0,0
Alan Fleming,0,0,0.086,0.014
Mrs Maureen Danagher,0,0,0.537,0.377
P Hogan,0,0,0.526,0.286
Miss Rita McCann,0,0,0.031,0.002
Mrs Bernadette OReilly,0,0,0.212,0.135
James Devereux,0,0,0.164,0.068
Stephen Kelly,0,0,0.21,0.087
James Vincent Slevin,3.874,1.927,0.743,0.67
Michael Vaughan,0,0,0.158,0.039
Ms Florence Mills,0,0,0.134,0.036
T J Corcoran,0,0,0.548,0.356
F Costello,0,0,0.117,0.029
Tom Bergin,0,0,0.502,0.316
P D Fitzgerald,0,0,0.502,0.28
Michael Doran,0,0,0.573,0.384
R Hennessy,0,0,0.812,0.66
S Dolan,0,0,0.375,0.141
A J Kennedy,0,0,0.265,0.132
J L Rothwell,0,0,0.097,0.014
Patrick Griffin,0,0,0.283,0.127
Mrs C Harrison,0,0,0.434,0.277
J R Shaw,0,0,0,0
G Hayes,0,0,0.252,0.148
M N ORiordan,0,0,0.22,0.095
William F Kelleher,0,0,0.416,0.235
Thomas Carmody,0,0,0.437,0.241
P J Goodwin,0,0,0.376,0.192
P M Hurley,0,0,0.515,0.294
Patrick J Duffy,0,0,0.554,0.337
Oliver J Power,0,0,0,0
Sean Treacy,0,0,0,0
George Kent,4.649,3.873,0.624,0.534
Michael Mulvany,0,0,0.579,0.338
Timothy Townend,0,0,0.73,0.542
C Hewitt,0,0,0.269,0.115
Thomas F Cusack,0,0,0,0
Donal C OBrien,0,0,0.22,0.051
Myles Coughlan,0,0,0.294,0.098
John J Maguire,0,0,0.138,0.084
J J Lennon,0,0,0,0
Thomas OToole,0,0,0.5,0.25
S Wilson,0,0,0.171,0.03
T J Arnold,0,0,0.038,0.003
James Morrissey,0,0,0.355,0.209
Adrian Sexton,0,0,0.024,0.001
P OKeeffe,0,0,0.26,0.135
Gerard Quirk,2.324,3.347,0.65,0.517
J F Tormey,0,0,0.137,0.033
Miss Tracy M Reilly,0,0,0.344,0.156
Cormac Flannery,0,0,0.24,0.059
Michael Fitzgerald,0,0,0.199,0.095
John J Cullen,0,0,0.052,0.006
A Lillingston,0,0,0.344,0.143
Joseph Cregan,1.937,3.136,0.596,0.404
W Fennin,0,0,0.72,0.549
Nicholas Fahy,0,0,0.125,0.016
David OSullivan,0,0,0,0
Philip Walsh,2.905,2.592,0.61,0.511
John W Byrne,0,0,0.286,0.082
D Rohan,0,0,0,0
C OKeeffe,0,0,0.315,0.226
M Keane,0,0,0.515,0.302
Michael A Kelly,0,0,0.186,0.035
Mrs P Gore-Cogan,0,0,0.045,0.004
P J Stokes,2.905,1.853,0.423,0.37
T Hannon,0,0,0.762,0.58
Mrs Mary Whelehan,1.937,2.932,0.442,0.315
Eugene Cleary,0,0,0.579,0.408
Thomas J Gray,0,0,0.059,0.003
T M Finnegan,0,0,0.267,0.087
A M OGrady,0,0,0.488,0.419
J P Lane,0,0,0,0
John F Robinson,0,0,0.123,0.023
W M Sheehy,0,0,0.606,0.367
Christopher Phillips,0,0,0.138,0.041
G OHagan,0,0,0.235,0.083
F F McGuinness,2.905,2.681,0.722,0.575
Thomas Martin Peoples,0,0,0,0
P M Quinlan,0,0,0.356,0.237
Mrs Jonah Wragg,0,0,0.565,0.319
Noel Henley,0,0,0,0
Mark J Doyle,0,0,0.167,0.028
Fintan Feeney,0,0,0.125,0.035
John P A Kenny,0,0,0,0
B Lalor,0,0,0.059,0.003
A Gannon,0,0,0.462,0.213
Michael John Cronin,0,0,0.155,0.024
K Riordan,0,0,0.5,0.278
Noel Lawlor,0,0,0.889,0.79
Padraig Gerard Higgins,0,0,0.417,0.174
Jeremiah Fitzpatrick,0,0,0.482,0.249
Shane J Fleming,0,0,0.25,0.062
James OHaire,0,0,0.444,0.198
John Michael Kennedy,0,0,0.071,0.005
J Reilly,11.621,5.5,1,1
Denis OHerlihy,0,0,0.22,0.076
William P Murphy,0,0,0.182,0.033
Aidan Anthony Howard,0,0,0.474,0.224
